Observation id,Observation date,Description,Observation type,Source,Time offset (s),Coding duration,Media duration (s),FPS (frame/s),Subject,Observation duration by subject by observation,Behavior,Behavioral category,Modifier #1,Modifier #2,Modifier #3,Modifier #4,Modifier #5,Behavior type,Start (s),Stop (s),Duration (s),Media file name,Image index start,Image index stop,Image file path start,Image file path stop,Comment start,Comment stop
N12_m1_AS(2),2025-02-20 15:08:15,traveling,Media file,player #1:nest_12_data\video\MOVI0001.avi,0.0,1799.933,1800.033,30.000,No focal subject,3906.62,Airborne,position,,,,,,STATE,0.067,432.766,432.699,nest_12_data\video\MOVI0001.avi,2,NA,,,,
N12_m1_AS(2),2025-02-20 15:08:15,traveling,Media file,player #1:nest_12_data\video\MOVI0001.avi,0.0,1799.933,1800.033,30.000,No focal subject,3906.62,Identifiable/individual birds,view,2,RFBO,adult,sitting,,POINT,0.067,0.067,NA,nest_12_data\video\MOVI0001.avi,2,2,,,,
N12_m1_AS(2),2025-02-20 15:08:15,traveling,Media file,player #1:nest_12_data\video\MOVI0001.avi,0.0,1799.933,1800.033,30.000,No focal subject,3906.62,weather notes,Not defined,light partial clouds,sun glare,3 - large wavelets crests breaking some scttered whitecaps,,,STATE,0.067,1800.000,1799.933,nest_12_data\video\MOVI0001.avi,2,53999,,,,
N12_m1_AS(2),2025-02-20 15:08:15,traveling,Media file,player #1:nest_12_data\video\MOVI0001.avi,0.0,1799.933,1800.033,30.000,No focal subject,3906.62,Identifiable/individual birds,view,1,RFBO,adult,sitting,,POINT,6.100,6.100,NA,nest_12_data\video\MOVI0001.avi,183,183,,,,
N12_m1_AS(2),2025-02-20 15:08:15,traveling,Media file,player #1:nest_12_data\video\MOVI0001.avi,0.0,1799.933,1800.033,30.000,No focal subject,3906.62,Eye/bill visible,view,,,,,,POINT,13.567,13.567,NA,nest_12_data\video\MOVI0001.avi,407,407,,,,
N12_m1_AS(2),2025-02-20 15:08:15,traveling,Media file,player #1:nest_12_data\video\MOVI0001.avi,0.0,1799.933,1800.033,30.000,No focal subject,3906.62,Eye/bill visible,view,,,,,,POINT,20.667,20.667,NA,nest_12_data\video\MOVI0001.avi,620,620,,,,
N12_m1_AS(2),2025-02-20 15:08:15,traveling,Media file,player #1:nest_12_data\video\MOVI0001.avi,0.0,1799.933,1800.033,30.000,No focal subject,3906.62,Eye/bill visible,view,,,,,,POINT,21.133,21.133,NA,nest_12_data\video\MOVI0001.avi,634,634,,,,
N12_m1_AS(2),2025-02-20 15:08:15,traveling,Media file,player #1:nest_12_data\video\MOVI0001.avi,0.0,1799.933,1800.033,30.000,No focal subject,3906.62,Identifiable/individual birds,view,1,RFBO,adult,sitting,,POINT,21.667,21.667,NA,nest_12_data\video\MOVI0001.avi,650,650,,,,
N12_m1_AS(2),2025-02-20 15:08:15,traveling,Media file,player #1:nest_12_data\video\MOVI0001.avi,0.0,1799.933,1800.033,30.000,No focal subject,3906.62,Identifiable/individual birds,view,1,unkown,unkown,parallel flight,,POINT,41.533,41.533,NA,nest_12_data\video\MOVI0001.avi,1246,1246,,,,
N12_m1_AS(2),2025-02-20 15:08:15,traveling,Media file,player #1:nest_12_data\video\MOVI0001.avi,0.0,1799.933,1800.033,30.000,No focal subject,3906.62,Identifiable/individual birds,view,1,brown noddy,adult,cross paths,,POINT,57.467,57.467,NA,nest_12_data\video\MOVI0001.avi,1724,1724,,,,
N12_m1_AS(2),2025-02-20 15:08:15,traveling,Media file,player #1:nest_12_data\video\MOVI0001.avi,0.0,1799.933,1800.033,30.000,No focal subject,3906.62,Identifiable/individual birds,view,1,RFBO,adult,parallel flight,,POINT,57.633,57.633,NA,nest_12_data\video\MOVI0001.avi,1729,1729,,,,
