Observation id,Observation date,Description,Observation type,Source,Time offset (s),Coding duration,Media duration (s),FPS (frame/s),Subject,Observation duration by subject by observation,Behavior,Behavioral category,Modifier #1,Modifier #2,Modifier #3,Modifier #4,Modifier #5,Behavior type,Start (s),Stop (s),Duration (s),Media file name,Image index start,Image index stop,Image file path start,Image file path stop,Comment start,Comment stop
N12_m1_As,2024-05-21 13:15:49,traveling resting single type 1 pca,Media file,player #1:nest_12_data\video\MOVI0001.avi,0.0,1799.944,1800.033,30.000,No focal subject,3945.877,Airborne,position,,,,,,STATE,0.067,432.666,432.599,nest_12_data\video\MOVI0001.avi,2,NA,,,,
N12_m1_As,2024-05-21 13:15:49,traveling resting single type 1 pca,Media file,player #1:nest_12_data\video\MOVI0001.avi,0.0,1799.944,1800.033,30.000,No focal subject,3945.877,Identifiable/individual birds,view,2,RFBO,adult,sitting,,POINT,0.067,0.067,NA,nest_12_data\video\MOVI0001.avi,2,2,,,,
N12_m1_As,2024-05-21 13:15:49,traveling resting single type 1 pca,Media file,player #1:nest_12_data\video\MOVI0001.avi,0.0,1799.944,1800.033,30.000,No focal subject,3945.877,weather notes,Not defined,clear,sun glare,"2 - small wavelets glassy crests not breaking,3 - large wavelets crests breaking some scttered whitecaps",,,STATE,0.067,1800.011,1799.944,nest_12_data\video\MOVI0001.avi,2,53999,,,,
N12_m1_As,2024-05-21 13:15:49,traveling resting single type 1 pca,Media file,player #1:nest_12_data\video\MOVI0001.avi,0.0,1799.944,1800.033,30.000,No focal subject,3945.877,Eye/bill visible,view,,,,,,POINT,13.567,13.567,NA,nest_12_data\video\MOVI0001.avi,407,407,,,,
N12_m1_As,2024-05-21 13:15:49,traveling resting single type 1 pca,Media file,player #1:nest_12_data\video\MOVI0001.avi,0.0,1799.944,1800.033,30.000,No focal subject,3945.877,Eye/bill visible,view,,,,,,POINT,20.633,20.633,NA,nest_12_data\video\MOVI0001.avi,619,619,,,,
N12_m1_As,2024-05-21 13:15:49,traveling resting single type 1 pca,Media file,player #1:nest_12_data\video\MOVI0001.avi,0.0,1799.944,1800.033,30.000,No focal subject,3945.877,Eye/bill visible,view,,,,,,POINT,21.033,21.033,NA,nest_12_data\video\MOVI0001.avi,631,631,,,,
N12_m1_As,2024-05-21 13:15:49,traveling resting single type 1 pca,Media file,player #1:nest_12_data\video\MOVI0001.avi,0.0,1799.944,1800.033,30.000,No focal subject,3945.877,Identifiable/individual birds,view,1,booby- Sula sp,adult,sitting,,POINT,85.933,85.933,NA,nest_12_data\video\MOVI0001.avi,2578,2578,,,,
N12_m1_As,2024-05-21 13:15:49,traveling resting single type 1 pca,Media file,player #1:nest_12_data\video\MOVI0001.avi,0.0,1799.944,1800.033,30.000,No focal subject,3945.877,Identifiable/individual birds,view,1,brown noddy,adult,cross paths,,POINT,87.967,87.967,NA,nest_12_data\video\MOVI0001.avi,2639,2639,,,,
N12_m1_As,2024-05-21 13:15:49,traveling resting single type 1 pca,Media file,player #1:nest_12_data\video\MOVI0001.avi,0.0,1799.944,1800.033,30.000,No focal subject,3945.877,Identifiable/individual birds,view,1,RFBO,adult,sitting,,POINT,88.033,88.033,NA,nest_12_data\video\MOVI0001.avi,2641,2641,,,,
N12_m1_As,2024-05-21 13:15:49,traveling resting single type 1 pca,Media file,player #1:nest_12_data\video\MOVI0001.avi,0.0,1799.944,1800.033,30.000,No focal subject,3945.877,Identifiable/individual birds,view,2,unkown,unkown,cross paths,,POINT,96.233,96.233,NA,nest_12_data\video\MOVI0001.avi,2887,2887,,,,
