Observation id,Observation date,Description,Observation type,Source,Time offset (s),Coding duration,Media duration (s),FPS (frame/s),Subject,Observation duration by subject by observation,Behavior,Behavioral category,Modifier #1,Modifier #2,Modifier #3,Modifier #4,Modifier #5,Behavior type,Start (s),Stop (s),Duration (s),Media file name,Image index start,Image index stop,Image file path start,Image file path stop,Comment start,Comment stop
N15_m2,2025-04-29 20:46:46,"foraging- no airborne prey, no MPs no type 3 traveling approching atoll, huge gain in altitude including spiraling up at edge of terrace (over penguin spit etc)",Media file,player #1:nest_15_data\nest_15_data\VIDEO\MOVI0002.avi,0.0,1799.944,1800.033,30.000,No focal subject,3875.077,Airborne,position,,,,,,STATE,0.067,1.066,0.999,nest_15_data\nest_15_data\VIDEO\MOVI0002.avi,2,NA,,,,
N15_m2,2025-04-29 20:46:46,"foraging- no airborne prey, no MPs no type 3 traveling approching atoll, huge gain in altitude including spiraling up at edge of terrace (over penguin spit etc)",Media file,player #1:nest_15_data\nest_15_data\VIDEO\MOVI0002.avi,0.0,1799.944,1800.033,30.000,No focal subject,3875.077,Dive,position,,,,,,STATE,0.067,2.432,2.365,nest_15_data\nest_15_data\VIDEO\MOVI0002.avi,2,NA,,,,
N15_m2,2025-04-29 20:46:46,"foraging- no airborne prey, no MPs no type 3 traveling approching atoll, huge gain in altitude including spiraling up at edge of terrace (over penguin spit etc)",Media file,player #1:nest_15_data\nest_15_data\VIDEO\MOVI0002.avi,0.0,1799.944,1800.033,30.000,No focal subject,3875.077,weather notes,Not defined,light partial clouds,sun glare,"3 - large wavelets crests breaking some scttered whitecaps,4 - small to moderate waves numerous whitecaps",,,STATE,0.067,1800.011,1799.944,nest_15_data\nest_15_data\VIDEO\MOVI0002.avi,2,53999,,,,
N15_m2,2025-04-29 20:46:46,"foraging- no airborne prey, no MPs no type 3 traveling approching atoll, huge gain in altitude including spiraling up at edge of terrace (over penguin spit etc)",Media file,player #1:nest_15_data\nest_15_data\VIDEO\MOVI0002.avi,0.0,1799.944,1800.033,30.000,No focal subject,3875.077,Eye/bill visible,view,,,,,,POINT,0.133,0.133,NA,nest_15_data\nest_15_data\VIDEO\MOVI0002.avi,4,4,,,,
N15_m2,2025-04-29 20:46:46,"foraging- no airborne prey, no MPs no type 3 traveling approching atoll, huge gain in altitude including spiraling up at edge of terrace (over penguin spit etc)",Media file,player #1:nest_15_data\nest_15_data\VIDEO\MOVI0002.avi,0.0,1799.944,1800.033,30.000,No focal subject,3875.077,obscured,view,feathers,,,,,STATE,0.900,1.066,0.166,nest_15_data\nest_15_data\VIDEO\MOVI0002.avi,27,NA,,,,
N15_m2,2025-04-29 20:46:46,"foraging- no airborne prey, no MPs no type 3 traveling approching atoll, huge gain in altitude including spiraling up at edge of terrace (over penguin spit etc)",Media file,player #1:nest_15_data\nest_15_data\VIDEO\MOVI0002.avi,0.0,1799.944,1800.033,30.000,No focal subject,3875.077,Underwater,position,,,,,,STATE,1.067,2.433,1.366,nest_15_data\nest_15_data\VIDEO\MOVI0002.avi,32,73,,,,
N15_m2,2025-04-29 20:46:46,"foraging- no airborne prey, no MPs no type 3 traveling approching atoll, huge gain in altitude including spiraling up at edge of terrace (over penguin spit etc)",Media file,player #1:nest_15_data\nest_15_data\VIDEO\MOVI0002.avi,0.0,1799.944,1800.033,30.000,No focal subject,3875.077,partially obscured,view,blurry/water,,,,,STATE,1.067,1.199,0.132,nest_15_data\nest_15_data\VIDEO\MOVI0002.avi,32,NA,,,,
N15_m2,2025-04-29 20:46:46,"foraging- no airborne prey, no MPs no type 3 traveling approching atoll, huge gain in altitude including spiraling up at edge of terrace (over penguin spit etc)",Media file,player #1:nest_15_data\nest_15_data\VIDEO\MOVI0002.avi,0.0,1799.944,1800.033,30.000,No focal subject,3875.077,obscured,view,feathers,,,,,STATE,1.200,1.366,0.166,nest_15_data\nest_15_data\VIDEO\MOVI0002.avi,36,NA,,,,
N15_m2,2025-04-29 20:46:46,"foraging- no airborne prey, no MPs no type 3 traveling approching atoll, huge gain in altitude including spiraling up at edge of terrace (over penguin spit etc)",Media file,player #1:nest_15_data\nest_15_data\VIDEO\MOVI0002.avi,0.0,1799.944,1800.033,30.000,No focal subject,3875.077,partially obscured,view,blurry/water,,,,,STATE,1.367,1.832,0.465,nest_15_data\nest_15_data\VIDEO\MOVI0002.avi,41,NA,,,,
N15_m2,2025-04-29 20:46:46,"foraging- no airborne prey, no MPs no type 3 traveling approching atoll, huge gain in altitude including spiraling up at edge of terrace (over penguin spit etc)",Media file,player #1:nest_15_data\nest_15_data\VIDEO\MOVI0002.avi,0.0,1799.944,1800.033,30.000,No focal subject,3875.077,obscured,view,feathers,,,,,STATE,1.833,12.199,10.366,nest_15_data\nest_15_data\VIDEO\MOVI0002.avi,55,NA,,,,
N15_m2,2025-04-29 20:46:46,"foraging- no airborne prey, no MPs no type 3 traveling approching atoll, huge gain in altitude including spiraling up at edge of terrace (over penguin spit etc)",Media file,player #1:nest_15_data\nest_15_data\VIDEO\MOVI0002.avi,0.0,1799.944,1800.033,30.000,No focal subject,3875.077,prey Capture,position,type 1: plunge dive INTO water- fully submerged even only briefly,Unknown,None,,,POINT,2.433,2.433,NA,nest_15_data\nest_15_data\VIDEO\MOVI0002.avi,73,73,,,,
N15_m2,2025-04-29 20:46:46,"foraging- no airborne prey, no MPs no type 3 traveling approching atoll, huge gain in altitude including spiraling up at edge of terrace (over penguin spit etc)",Media file,player #1:nest_15_data\nest_15_data\VIDEO\MOVI0002.avi,0.0,1799.944,1800.033,30.000,No focal subject,3875.077,Sitting,position,,,,,,STATE,2.433,12.932,10.499,nest_15_data\nest_15_data\VIDEO\MOVI0002.avi,73,NA,,,,
N15_m2,2025-04-29 20:46:46,"foraging- no airborne prey, no MPs no type 3 traveling approching atoll, huge gain in altitude including spiraling up at edge of terrace (over penguin spit etc)",Media file,player #1:nest_15_data\nest_15_data\VIDEO\MOVI0002.avi,0.0,1799.944,1800.033,30.000,No focal subject,3875.077,Dive,position,,,,,,STATE,2.467,12.932,10.465,nest_15_data\nest_15_data\VIDEO\MOVI0002.avi,74,NA,,,,
N15_m2,2025-04-29 20:46:46,"foraging- no airborne prey, no MPs no type 3 traveling approching atoll, huge gain in altitude including spiraling up at edge of terrace (over penguin spit etc)",Media file,player #1:nest_15_data\nest_15_data\VIDEO\MOVI0002.avi,0.0,1799.944,1800.033,30.000,No focal subject,3875.077,partially obscured,view,blurry/water,,,,,STATE,12.200,30.000,17.800,nest_15_data\nest_15_data\VIDEO\MOVI0002.avi,366,900,,,,
N15_m2,2025-04-29 20:46:46,"foraging- no airborne prey, no MPs no type 3 traveling approching atoll, huge gain in altitude including spiraling up at edge of terrace (over penguin spit etc)",Media file,player #1:nest_15_data\nest_15_data\VIDEO\MOVI0002.avi,0.0,1799.944,1800.033,30.000,No focal subject,3875.077,Takeoff,position,,,,,,POINT,12.933,12.933,NA,nest_15_data\nest_15_data\VIDEO\MOVI0002.avi,388,388,,,,
N15_m2,2025-04-29 20:46:46,"foraging- no airborne prey, no MPs no type 3 traveling approching atoll, huge gain in altitude including spiraling up at edge of terrace (over penguin spit etc)",Media file,player #1:nest_15_data\nest_15_data\VIDEO\MOVI0002.avi,0.0,1799.944,1800.033,30.000,No focal subject,3875.077,Airborne,position,,,,,,STATE,13.267,60.699,47.432,nest_15_data\nest_15_data\VIDEO\MOVI0002.avi,398,NA,,,,
N15_m2,2025-04-29 20:46:46,"foraging- no airborne prey, no MPs no type 3 traveling approching atoll, huge gain in altitude including spiraling up at edge of terrace (over penguin spit etc)",Media file,player #1:nest_15_data\nest_15_data\VIDEO\MOVI0002.avi,0.0,1799.944,1800.033,30.000,No focal subject,3875.077,Identifiable/individual birds,view,1,RFBO,adult,parallel flight,,POINT,13.800,13.800,NA,nest_15_data\nest_15_data\VIDEO\MOVI0002.avi,414,414,,,,
N15_m2,2025-04-29 20:46:46,"foraging- no airborne prey, no MPs no type 3 traveling approching atoll, huge gain in altitude including spiraling up at edge of terrace (over penguin spit etc)",Media file,player #1:nest_15_data\nest_15_data\VIDEO\MOVI0002.avi,0.0,1799.944,1800.033,30.000,No focal subject,3875.077,Identifiable/individual birds,view,2,brown noddy,adult,parallel flight,,POINT,14.167,14.167,NA,nest_15_data\nest_15_data\VIDEO\MOVI0002.avi,425,425,,,,
N15_m2,2025-04-29 20:46:46,"foraging- no airborne prey, no MPs no type 3 traveling approching atoll, huge gain in altitude including spiraling up at edge of terrace (over penguin spit etc)",Media file,player #1:nest_15_data\nest_15_data\VIDEO\MOVI0002.avi,0.0,1799.944,1800.033,30.000,No focal subject,3875.077,Identifiable/individual birds,view,1,RFBO,adult,parallel flight,,POINT,15.467,15.467,NA,nest_15_data\nest_15_data\VIDEO\MOVI0002.avi,464,464,,,,
N15_m2,2025-04-29 20:46:46,"foraging- no airborne prey, no MPs no type 3 traveling approching atoll, huge gain in altitude including spiraling up at edge of terrace (over penguin spit etc)",Media file,player #1:nest_15_data\nest_15_data\VIDEO\MOVI0002.avi,0.0,1799.944,1800.033,30.000,No focal subject,3875.077,Identifiable/individual birds,view,1,RFBO,unkown,parallel flight,,POINT,30.000,30.000,NA,nest_15_data\nest_15_data\VIDEO\MOVI0002.avi,900,900,,,,
N15_m2,2025-04-29 20:46:46,"foraging- no airborne prey, no MPs no type 3 traveling approching atoll, huge gain in altitude including spiraling up at edge of terrace (over penguin spit etc)",Media file,player #1:nest_15_data\nest_15_data\VIDEO\MOVI0002.avi,0.0,1799.944,1800.033,30.000,No focal subject,3875.077,Identifiable/individual birds,view,1,RFBO,adult,parallel flight,,POINT,31.700,31.700,NA,nest_15_data\nest_15_data\VIDEO\MOVI0002.avi,951,951,,,,
N15_m2,2025-04-29 20:46:46,"foraging- no airborne prey, no MPs no type 3 traveling approching atoll, huge gain in altitude including spiraling up at edge of terrace (over penguin spit etc)",Media file,player #1:nest_15_data\nest_15_data\VIDEO\MOVI0002.avi,0.0,1799.944,1800.033,30.000,No focal subject,3875.077,Identifiable/individual birds,view,1,RFBO,adult,cross paths,,POINT,32.300,32.300,NA,nest_15_data\nest_15_data\VIDEO\MOVI0002.avi,969,969,,,,
N15_m2,2025-04-29 20:46:46,"foraging- no airborne prey, no MPs no type 3 traveling approching atoll, huge gain in altitude including spiraling up at edge of terrace (over penguin spit etc)",Media file,player #1:nest_15_data\nest_15_data\VIDEO\MOVI0002.avi,0.0,1799.944,1800.033,30.000,No focal subject,3875.077,Identifiable/individual birds,view,1,RFBO,adult,parallel flight,,POINT,36.800,36.800,NA,nest_15_data\nest_15_data\VIDEO\MOVI0002.avi,1104,1104,,,,
N15_m2,2025-04-29 20:46:46,"foraging- no airborne prey, no MPs no type 3 traveling approching atoll, huge gain in altitude including spiraling up at edge of terrace (over penguin spit etc)",Media file,player #1:nest_15_data\nest_15_data\VIDEO\MOVI0002.avi,0.0,1799.944,1800.033,30.000,No focal subject,3875.077,Identifiable/individual birds,view,1,RFBO,adult,parallel flight,,POINT,38.200,38.200,NA,nest_15_data\nest_15_data\VIDEO\MOVI0002.avi,1146,1146,,,,
N15_m2,2025-04-29 20:46:46,"foraging- no airborne prey, no MPs no type 3 traveling approching atoll, huge gain in altitude including spiraling up at edge of terrace (over penguin spit etc)",Media file,player #1:nest_15_data\nest_15_data\VIDEO\MOVI0002.avi,0.0,1799.944,1800.033,30.000,No focal subject,3875.077,Identifiable/individual birds,view,1,RFBO,adult,cross paths,,POINT,57.800,57.800,NA,nest_15_data\nest_15_data\VIDEO\MOVI0002.avi,1734,1734,,,,
N15_m2,2025-04-29 20:46:46,"foraging- no airborne prey, no MPs no type 3 traveling approching atoll, huge gain in altitude including spiraling up at edge of terrace (over penguin spit etc)",Media file,player #1:nest_15_data\nest_15_data\VIDEO\MOVI0002.avi,0.0,1799.944,1800.033,30.000,No focal subject,3875.077,Dive,position,,,,,,STATE,59.167,61.733,2.566,nest_15_data\nest_15_data\VIDEO\MOVI0002.avi,1775,1852,,,,
N15_m2,2025-04-29 20:46:46,"foraging- no airborne prey, no MPs no type 3 traveling approching atoll, huge gain in altitude including spiraling up at edge of terrace (over penguin spit etc)",Media file,player #1:nest_15_data\nest_15_data\VIDEO\MOVI0002.avi,0.0,1799.944,1800.033,30.000,No focal subject,3875.077,obscured,view,feathers,,,,,STATE,59.200,59.566,0.366,nest_15_data\nest_15_data\VIDEO\MOVI0002.avi,1776,NA,,,,
