Observation id,Observation date,Description,Observation type,Source,Time offset (s),Coding duration,Media duration (s),FPS (frame/s),Subject,Observation duration by subject by observation,Behavior,Behavioral category,Modifier #1,Modifier #2,Modifier #3,Modifier #4,Modifier #5,Behavior type,Start (s),Stop (s),Duration (s),Media file name,Image index start,Image index stop,Image file path start,Image file path stop,Comment start,Comment stop
N1_m3_As.fromAF,2023-12-28 09:36:07,traveling/sitting,Media file,player #1:nest_1_data\video\MOVI0003.avi,0.0,1799.939,1800.033,30.000,No focal subject,3491.562,Sitting,position,,,,,,STATE,0.067,1322.466,1322.399,nest_1_data\video\MOVI0003.avi,2,NA,,,,
N1_m3_As.fromAF,2023-12-28 09:36:07,traveling/sitting,Media file,player #1:nest_1_data\video\MOVI0003.avi,0.0,1799.939,1800.033,30.000,No focal subject,3491.562,obscured,view,feathers,,,,,STATE,106.367,486.466,380.099,nest_1_data\video\MOVI0003.avi,3191,NA,,,,
N1_m3_As.fromAF,2023-12-28 09:36:07,traveling/sitting,Media file,player #1:nest_1_data\video\MOVI0003.avi,0.0,1799.939,1800.033,30.000,No focal subject,3491.562,partially obscured,view,feathers,,,,,STATE,486.467,487.699,1.232,nest_1_data\video\MOVI0003.avi,14594,NA,,,,
N1_m3_As.fromAF,2023-12-28 09:36:07,traveling/sitting,Media file,player #1:nest_1_data\video\MOVI0003.avi,0.0,1799.939,1800.033,30.000,No focal subject,3491.562,Eye/bill visible,view,,,,,,POINT,486.800,486.800,NA,nest_1_data\video\MOVI0003.avi,14604,14604,,,,
N1_m3_As.fromAF,2023-12-28 09:36:07,traveling/sitting,Media file,player #1:nest_1_data\video\MOVI0003.avi,0.0,1799.939,1800.033,30.000,No focal subject,3491.562,obscured,view,feathers,,,,,STATE,487.700,488.566,0.866,nest_1_data\video\MOVI0003.avi,14631,NA,,,,
N1_m3_As.fromAF,2023-12-28 09:36:07,traveling/sitting,Media file,player #1:nest_1_data\video\MOVI0003.avi,0.0,1799.939,1800.033,30.000,No focal subject,3491.562,partially obscured,view,feathers,,,,,STATE,488.567,489.466,0.899,nest_1_data\video\MOVI0003.avi,14657,NA,,,,
N1_m3_As.fromAF,2023-12-28 09:36:07,traveling/sitting,Media file,player #1:nest_1_data\video\MOVI0003.avi,0.0,1799.939,1800.033,30.000,No focal subject,3491.562,obscured,view,feathers,,,,,STATE,489.467,1322.467,833.000,nest_1_data\video\MOVI0003.avi,14684,39673,,,,
N1_m3_As.fromAF,2023-12-28 09:36:07,traveling/sitting,Media file,player #1:nest_1_data\video\MOVI0003.avi,0.0,1799.939,1800.033,30.000,No focal subject,3491.562,Takeoff,position,,,,,,POINT,1322.467,1322.467,NA,nest_1_data\video\MOVI0003.avi,39673,39673,,,,
N1_m3_As.fromAF,2023-12-28 09:36:07,traveling/sitting,Media file,player #1:nest_1_data\video\MOVI0003.avi,0.0,1799.939,1800.033,30.000,No focal subject,3491.562,Airborne,position,,,,,,STATE,1323.167,1800.000,476.833,nest_1_data\video\MOVI0003.avi,39694,NA,,,,Event automatically added by the fix unpaired state events function
N1_m3_As.fromAF,2023-12-28 09:36:07,traveling/sitting,Media file,player #1:nest_1_data\video\MOVI0003.avi,0.0,1799.939,1800.033,30.000,No focal subject,3491.562,weather notes,Not defined,heavy partial clouds,None,2 - small wavelets glassy crests not breaking,,,STATE,1323.767,1800.001,476.234,nest_1_data\video\MOVI0003.avi,39712,NA,,,,Event automatically added by the fix unpaired state events function
N1_m3_As.fromAF,2023-12-28 09:36:07,traveling/sitting,Media file,player #1:nest_1_data\video\MOVI0003.avi,0.0,1799.939,1800.033,30.000,No focal subject,3491.562,Eye/bill visible,view,,,,,,POINT,1331.300,1331.300,NA,nest_1_data\video\MOVI0003.avi,39938,39938,,,,
N1_m3_As.fromAF,2023-12-28 09:36:07,traveling/sitting,Media file,player #1:nest_1_data\video\MOVI0003.avi,0.0,1799.939,1800.033,30.000,No focal subject,3491.562,Eye/bill visible,view,,,,,,POINT,1331.800,1331.800,NA,nest_1_data\video\MOVI0003.avi,39953,39953,,,,
N1_m3_As.fromAF,2023-12-28 09:36:07,traveling/sitting,Media file,player #1:nest_1_data\video\MOVI0003.avi,0.0,1799.939,1800.033,30.000,No focal subject,3491.562,Eye/bill visible,view,,,,,,POINT,1348.700,1348.700,NA,nest_1_data\video\MOVI0003.avi,40460,40460,,,,
N1_m3_As.fromAF,2023-12-28 09:36:07,traveling/sitting,Media file,player #1:nest_1_data\video\MOVI0003.avi,0.0,1799.939,1800.033,30.000,No focal subject,3491.562,Eye/bill visible,view,,,,,,POINT,1349.000,1349.000,NA,nest_1_data\video\MOVI0003.avi,40469,40469,,,,
N1_m3_As.fromAF,2023-12-28 09:36:07,traveling/sitting,Media file,player #1:nest_1_data\video\MOVI0003.avi,0.0,1799.939,1800.033,30.000,No focal subject,3491.562,Eye/bill visible,view,,,,,,POINT,1349.300,1349.300,NA,nest_1_data\video\MOVI0003.avi,40478,40478,,,,
N1_m3_As.fromAF,2023-12-28 09:36:07,traveling/sitting,Media file,player #1:nest_1_data\video\MOVI0003.avi,0.0,1799.939,1800.033,30.000,No focal subject,3491.562,other Birds present,view,3,unknown,flying,mid distance - shape and movement visible,mid,POINT,1350.000,1350.000,NA,nest_1_data\video\MOVI0003.avi,40499,40499,,,,
N1_m3_As.fromAF,2023-12-28 09:36:07,traveling/sitting,Media file,player #1:nest_1_data\video\MOVI0003.avi,0.0,1799.939,1800.033,30.000,No focal subject,3491.562,other Birds present,view,3,unknown,"flying,sitting",mid distance - shape and movement visible,far,POINT,1380.000,1380.000,NA,nest_1_data\video\MOVI0003.avi,41399,41399,,,,
N1_m3_As.fromAF,2023-12-28 09:36:07,traveling/sitting,Media file,player #1:nest_1_data\video\MOVI0003.avi,0.0,1799.939,1800.033,30.000,No focal subject,3491.562,Eye/bill visible,view,,,,,,POINT,1405.400,1405.400,NA,nest_1_data\video\MOVI0003.avi,42161,42161,,,,
N1_m3_As.fromAF,2023-12-28 09:36:07,traveling/sitting,Media file,player #1:nest_1_data\video\MOVI0003.avi,0.0,1799.939,1800.033,30.000,No focal subject,3491.562,other Birds present,view,3,unknown,flying,far-moving speck or lines,far,POINT,1410.000,1410.000,NA,nest_1_data\video\MOVI0003.avi,42299,42299,,,,
N1_m3_As.fromAF,2023-12-28 09:36:07,traveling/sitting,Media file,player #1:nest_1_data\video\MOVI0003.avi,0.0,1799.939,1800.033,30.000,No focal subject,3491.562,Eye/bill visible,view,,,,,,POINT,1425.467,1425.467,NA,nest_1_data\video\MOVI0003.avi,42763,42763,,,,
N1_m3_As.fromAF,2023-12-28 09:36:07,traveling/sitting,Media file,player #1:nest_1_data\video\MOVI0003.avi,0.0,1799.939,1800.033,30.000,No focal subject,3491.562,other Birds present,view,4,unknown,flying,mid distance - shape and movement visible,far,POINT,1440.000,1440.000,NA,nest_1_data\video\MOVI0003.avi,43199,43199,,,,
N1_m3_As.fromAF,2023-12-28 09:36:07,traveling/sitting,Media file,player #1:nest_1_data\video\MOVI0003.avi,0.0,1799.939,1800.033,30.000,No focal subject,3491.562,Eye/bill visible,view,,,,,,POINT,1453.167,1453.167,NA,nest_1_data\video\MOVI0003.avi,43594,43594,,,,
N1_m3_As.fromAF,2023-12-28 09:36:07,traveling/sitting,Media file,player #1:nest_1_data\video\MOVI0003.avi,0.0,1799.939,1800.033,30.000,No focal subject,3491.562,Eye/bill visible,view,,,,,,POINT,1453.633,1453.633,NA,nest_1_data\video\MOVI0003.avi,43608,43608,,,,
N1_m3_As.fromAF,2023-12-28 09:36:07,traveling/sitting,Media file,player #1:nest_1_data\video\MOVI0003.avi,0.0,1799.939,1800.033,30.000,No focal subject,3491.562,other Birds present,view,1,booby- Sula sp,flying,close - well defined body and movements,close,POINT,1470.000,1470.000,NA,nest_1_data\video\MOVI0003.avi,44099,44099,,,,
N1_m3_As.fromAF,2023-12-28 09:36:07,traveling/sitting,Media file,player #1:nest_1_data\video\MOVI0003.avi,0.0,1799.939,1800.033,30.000,No focal subject,3491.562,other Birds present,view,0,None,None,None,None,POINT,1500.033,1500.033,NA,nest_1_data\video\MOVI0003.avi,45000,45000,,,,
N1_m3_As.fromAF,2023-12-28 09:36:07,traveling/sitting,Media file,player #1:nest_1_data\video\MOVI0003.avi,0.0,1799.939,1800.033,30.000,No focal subject,3491.562,Eye/bill visible,view,,,,,,POINT,1505.067,1505.067,NA,nest_1_data\video\MOVI0003.avi,45151,45151,,,,
N1_m3_As.fromAF,2023-12-28 09:36:07,traveling/sitting,Media file,player #1:nest_1_data\video\MOVI0003.avi,0.0,1799.939,1800.033,30.000,No focal subject,3491.562,other Birds present,view,0,None,None,None,None,POINT,1530.000,1530.000,NA,nest_1_data\video\MOVI0003.avi,45899,45899,,,,
