Observation id,Observation date,Description,Observation type,Source,Time offset (s),Coding duration,Media duration (s),FPS (frame/s),Subject,Observation duration by subject by observation,Behavior,Behavioral category,Modifier #1,Modifier #2,Modifier #3,Modifier #4,Modifier #5,Behavior type,Start (s),Stop (s),Duration (s),Media file name,Image index start,Image index stop,Image file path start,Image file path stop,Comment start,Comment stop
N1_m4_AS.fromAF,2024-01-03 12:42:34,"foraging no type 3 but airborne prey at least twice, scavenging on dead marine predator",Media file,player #1:nest_1_data\video\MOVI0004.avi,0.0,1799.937,1800.033,30.000,No focal subject,3769.94,Airborne,position,,,,,,STATE,0.067,1051.666,1051.599,nest_1_data\video\MOVI0004.avi,2,NA,,,,
N1_m4_AS.fromAF,2024-01-03 12:42:34,"foraging no type 3 but airborne prey at least twice, scavenging on dead marine predator",Media file,player #1:nest_1_data\video\MOVI0004.avi,0.0,1799.937,1800.033,30.000,No focal subject,3769.94,weather notes,Not defined,light partial clouds,None,2 - small wavelets glassy crests not breaking,,,STATE,0.067,1800.001,1799.934,nest_1_data\video\MOVI0004.avi,2,NA,,,,Event automatically added by the fix unpaired state events function
N1_m4_AS.fromAF,2024-01-03 12:42:34,"foraging no type 3 but airborne prey at least twice, scavenging on dead marine predator",Media file,player #1:nest_1_data\video\MOVI0004.avi,0.0,1799.937,1800.033,30.000,No focal subject,3769.94,other Birds present,view,0,None,None,None,None,POINT,30.000,30.000,NA,nest_1_data\video\MOVI0004.avi,900,900,,,,
N1_m4_AS.fromAF,2024-01-03 12:42:34,"foraging no type 3 but airborne prey at least twice, scavenging on dead marine predator",Media file,player #1:nest_1_data\video\MOVI0004.avi,0.0,1799.937,1800.033,30.000,No focal subject,3769.94,Eye/bill visible,view,,,,,,POINT,37.667,37.667,NA,nest_1_data\video\MOVI0004.avi,1130,1130,,,,
N1_m4_AS.fromAF,2024-01-03 12:42:34,"foraging no type 3 but airborne prey at least twice, scavenging on dead marine predator",Media file,player #1:nest_1_data\video\MOVI0004.avi,0.0,1799.937,1800.033,30.000,No focal subject,3769.94,other Birds present,view,0,None,None,None,None,POINT,60.000,60.000,NA,nest_1_data\video\MOVI0004.avi,1800,1800,,,,
N1_m4_AS.fromAF,2024-01-03 12:42:34,"foraging no type 3 but airborne prey at least twice, scavenging on dead marine predator",Media file,player #1:nest_1_data\video\MOVI0004.avi,0.0,1799.937,1800.033,30.000,No focal subject,3769.94,Eye/bill visible,view,,,,,,POINT,73.600,73.600,NA,nest_1_data\video\MOVI0004.avi,2208,2208,,,,
N1_m4_AS.fromAF,2024-01-03 12:42:34,"foraging no type 3 but airborne prey at least twice, scavenging on dead marine predator",Media file,player #1:nest_1_data\video\MOVI0004.avi,0.0,1799.937,1800.033,30.000,No focal subject,3769.94,Eye/bill visible,view,,,,,,POINT,81.900,81.900,NA,nest_1_data\video\MOVI0004.avi,2457,2457,,,,
N1_m4_AS.fromAF,2024-01-03 12:42:34,"foraging no type 3 but airborne prey at least twice, scavenging on dead marine predator",Media file,player #1:nest_1_data\video\MOVI0004.avi,0.0,1799.937,1800.033,30.000,No focal subject,3769.94,other Birds present,view,0,None,None,None,None,POINT,90.000,90.000,NA,nest_1_data\video\MOVI0004.avi,2700,2700,,,,
N1_m4_AS.fromAF,2024-01-03 12:42:34,"foraging no type 3 but airborne prey at least twice, scavenging on dead marine predator",Media file,player #1:nest_1_data\video\MOVI0004.avi,0.0,1799.937,1800.033,30.000,No focal subject,3769.94,Eye/bill visible,view,,,,,,POINT,99.467,99.467,NA,nest_1_data\video\MOVI0004.avi,2984,2984,,,,
N1_m4_AS.fromAF,2024-01-03 12:42:34,"foraging no type 3 but airborne prey at least twice, scavenging on dead marine predator",Media file,player #1:nest_1_data\video\MOVI0004.avi,0.0,1799.937,1800.033,30.000,No focal subject,3769.94,Eye/bill visible,view,,,,,,POINT,100.067,100.067,NA,nest_1_data\video\MOVI0004.avi,3002,3002,,,,
N1_m4_AS.fromAF,2024-01-03 12:42:34,"foraging no type 3 but airborne prey at least twice, scavenging on dead marine predator",Media file,player #1:nest_1_data\video\MOVI0004.avi,0.0,1799.937,1800.033,30.000,No focal subject,3769.94,other Birds present,view,0,None,None,None,None,POINT,120.000,120.000,NA,nest_1_data\video\MOVI0004.avi,3600,3600,,,,
N1_m4_AS.fromAF,2024-01-03 12:42:34,"foraging no type 3 but airborne prey at least twice, scavenging on dead marine predator",Media file,player #1:nest_1_data\video\MOVI0004.avi,0.0,1799.937,1800.033,30.000,No focal subject,3769.94,Eye/bill visible,view,,,,,,POINT,122.300,122.300,NA,nest_1_data\video\MOVI0004.avi,3669,3669,,,,
N1_m4_AS.fromAF,2024-01-03 12:42:34,"foraging no type 3 but airborne prey at least twice, scavenging on dead marine predator",Media file,player #1:nest_1_data\video\MOVI0004.avi,0.0,1799.937,1800.033,30.000,No focal subject,3769.94,Eye/bill visible,view,,,,,,POINT,122.667,122.667,NA,nest_1_data\video\MOVI0004.avi,3680,3680,,,,
N1_m4_AS.fromAF,2024-01-03 12:42:34,"foraging no type 3 but airborne prey at least twice, scavenging on dead marine predator",Media file,player #1:nest_1_data\video\MOVI0004.avi,0.0,1799.937,1800.033,30.000,No focal subject,3769.94,Eye/bill visible,view,,,,,,POINT,123.867,123.867,NA,nest_1_data\video\MOVI0004.avi,3716,3716,,,,
N1_m4_AS.fromAF,2024-01-03 12:42:34,"foraging no type 3 but airborne prey at least twice, scavenging on dead marine predator",Media file,player #1:nest_1_data\video\MOVI0004.avi,0.0,1799.937,1800.033,30.000,No focal subject,3769.94,Eye/bill visible,view,,,,,,POINT,124.333,124.333,NA,nest_1_data\video\MOVI0004.avi,3730,3730,,,,
N1_m4_AS.fromAF,2024-01-03 12:42:34,"foraging no type 3 but airborne prey at least twice, scavenging on dead marine predator",Media file,player #1:nest_1_data\video\MOVI0004.avi,0.0,1799.937,1800.033,30.000,No focal subject,3769.94,Eye/bill visible,view,,,,,,POINT,124.767,124.767,NA,nest_1_data\video\MOVI0004.avi,3743,3743,,,,
N1_m4_AS.fromAF,2024-01-03 12:42:34,"foraging no type 3 but airborne prey at least twice, scavenging on dead marine predator",Media file,player #1:nest_1_data\video\MOVI0004.avi,0.0,1799.937,1800.033,30.000,No focal subject,3769.94,Eye/bill visible,view,,,,,,POINT,125.100,125.100,NA,nest_1_data\video\MOVI0004.avi,3753,3753,,,,
N1_m4_AS.fromAF,2024-01-03 12:42:34,"foraging no type 3 but airborne prey at least twice, scavenging on dead marine predator",Media file,player #1:nest_1_data\video\MOVI0004.avi,0.0,1799.937,1800.033,30.000,No focal subject,3769.94,Eye/bill visible,view,,,,,,POINT,125.500,125.500,NA,nest_1_data\video\MOVI0004.avi,3765,3765,,,,
N1_m4_AS.fromAF,2024-01-03 12:42:34,"foraging no type 3 but airborne prey at least twice, scavenging on dead marine predator",Media file,player #1:nest_1_data\video\MOVI0004.avi,0.0,1799.937,1800.033,30.000,No focal subject,3769.94,Eye/bill visible,view,,,,,,POINT,125.800,125.800,NA,nest_1_data\video\MOVI0004.avi,3774,3774,,,,
N1_m4_AS.fromAF,2024-01-03 12:42:34,"foraging no type 3 but airborne prey at least twice, scavenging on dead marine predator",Media file,player #1:nest_1_data\video\MOVI0004.avi,0.0,1799.937,1800.033,30.000,No focal subject,3769.94,Eye/bill visible,view,,,,,,POINT,132.467,132.467,NA,nest_1_data\video\MOVI0004.avi,3974,3974,,,,
N1_m4_AS.fromAF,2024-01-03 12:42:34,"foraging no type 3 but airborne prey at least twice, scavenging on dead marine predator",Media file,player #1:nest_1_data\video\MOVI0004.avi,0.0,1799.937,1800.033,30.000,No focal subject,3769.94,Eye/bill visible,view,,,,,,POINT,132.800,132.800,NA,nest_1_data\video\MOVI0004.avi,3984,3984,,,,
N1_m4_AS.fromAF,2024-01-03 12:42:34,"foraging no type 3 but airborne prey at least twice, scavenging on dead marine predator",Media file,player #1:nest_1_data\video\MOVI0004.avi,0.0,1799.937,1800.033,30.000,No focal subject,3769.94,Eye/bill visible,view,,,,,,POINT,133.167,133.167,NA,nest_1_data\video\MOVI0004.avi,3995,3995,,,,
N1_m4_AS.fromAF,2024-01-03 12:42:34,"foraging no type 3 but airborne prey at least twice, scavenging on dead marine predator",Media file,player #1:nest_1_data\video\MOVI0004.avi,0.0,1799.937,1800.033,30.000,No focal subject,3769.94,Eye/bill visible,view,,,,,,POINT,133.700,133.700,NA,nest_1_data\video\MOVI0004.avi,4011,4011,,,,
N1_m4_AS.fromAF,2024-01-03 12:42:34,"foraging no type 3 but airborne prey at least twice, scavenging on dead marine predator",Media file,player #1:nest_1_data\video\MOVI0004.avi,0.0,1799.937,1800.033,30.000,No focal subject,3769.94,Eye/bill visible,view,,,,,,POINT,144.267,144.267,NA,nest_1_data\video\MOVI0004.avi,4328,4328,,,,
N1_m4_AS.fromAF,2024-01-03 12:42:34,"foraging no type 3 but airborne prey at least twice, scavenging on dead marine predator",Media file,player #1:nest_1_data\video\MOVI0004.avi,0.0,1799.937,1800.033,30.000,No focal subject,3769.94,Eye/bill visible,view,,,,,,POINT,144.500,144.500,NA,nest_1_data\video\MOVI0004.avi,4335,4335,,,,
N1_m4_AS.fromAF,2024-01-03 12:42:34,"foraging no type 3 but airborne prey at least twice, scavenging on dead marine predator",Media file,player #1:nest_1_data\video\MOVI0004.avi,0.0,1799.937,1800.033,30.000,No focal subject,3769.94,other Birds present,view,0,None,None,None,None,POINT,150.000,150.000,NA,nest_1_data\video\MOVI0004.avi,4500,4500,,,,
N1_m4_AS.fromAF,2024-01-03 12:42:34,"foraging no type 3 but airborne prey at least twice, scavenging on dead marine predator",Media file,player #1:nest_1_data\video\MOVI0004.avi,0.0,1799.937,1800.033,30.000,No focal subject,3769.94,Eye/bill visible,view,,,,,,POINT,166.200,166.200,NA,nest_1_data\video\MOVI0004.avi,4986,4986,,,,
N1_m4_AS.fromAF,2024-01-03 12:42:34,"foraging no type 3 but airborne prey at least twice, scavenging on dead marine predator",Media file,player #1:nest_1_data\video\MOVI0004.avi,0.0,1799.937,1800.033,30.000,No focal subject,3769.94,other Birds present,view,0,None,None,None,None,POINT,180.000,180.000,NA,nest_1_data\video\MOVI0004.avi,5400,5400,,,,
N1_m4_AS.fromAF,2024-01-03 12:42:34,"foraging no type 3 but airborne prey at least twice, scavenging on dead marine predator",Media file,player #1:nest_1_data\video\MOVI0004.avi,0.0,1799.937,1800.033,30.000,No focal subject,3769.94,other Birds present,view,0,None,None,None,None,POINT,210.000,210.000,NA,nest_1_data\video\MOVI0004.avi,6300,6300,,,,
N1_m4_AS.fromAF,2024-01-03 12:42:34,"foraging no type 3 but airborne prey at least twice, scavenging on dead marine predator",Media file,player #1:nest_1_data\video\MOVI0004.avi,0.0,1799.937,1800.033,30.000,No focal subject,3769.94,other Birds present,view,0,None,None,None,None,POINT,240.067,240.067,NA,nest_1_data\video\MOVI0004.avi,7202,7202,,,,
N1_m4_AS.fromAF,2024-01-03 12:42:34,"foraging no type 3 but airborne prey at least twice, scavenging on dead marine predator",Media file,player #1:nest_1_data\video\MOVI0004.avi,0.0,1799.937,1800.033,30.000,No focal subject,3769.94,other Birds present,view,0,None,None,None,None,POINT,270.000,270.000,NA,nest_1_data\video\MOVI0004.avi,8100,8100,,,,
