Observation id,Observation date,Description,Observation type,Source,Time offset (s),Coding duration,Media duration (s),FPS (frame/s),Subject,Observation duration by subject by observation,Behavior,Behavioral category,Modifier #1,Modifier #2,Modifier #3,Modifier #4,Modifier #5,Behavior type,Start (s),Stop (s),Duration (s),Media file name,Image index start,Image index stop,Image file path start,Image file path stop,Comment start,Comment stop
N1_m6_AF,2024-01-03 12:47:20,traveling/sitting,Media file,player #1:nest_1_data\video\MOVI0006.avi,0.0,899.935,900.033,30.000,No focal subject,2630.258,Sitting,position,,,,,,STATE,0.067,372.199,372.132,nest_1_data\video\MOVI0006.avi,2,NA,,,,
N1_m6_AF,2024-01-03 12:47:20,traveling/sitting,Media file,player #1:nest_1_data\video\MOVI0006.avi,0.0,899.935,900.033,30.000,No focal subject,2630.258,obscured,view,feathers,,,,,STATE,0.067,372.099,372.032,nest_1_data\video\MOVI0006.avi,2,NA,,,,
N1_m6_AF,2024-01-03 12:47:20,traveling/sitting,Media file,player #1:nest_1_data\video\MOVI0006.avi,0.0,899.935,900.033,30.000,No focal subject,2630.258,weather notes,Not defined,overcast - solid cloud layer,None,2 - small wavelets glassy crests not breaking,,,STATE,0.067,900.002,899.935,nest_1_data\video\MOVI0006.avi,2,NA,,,,Event automatically added by the fix unpaired state events function
N1_m6_AF,2024-01-03 12:47:20,traveling/sitting,Media file,player #1:nest_1_data\video\MOVI0006.avi,0.0,899.935,900.033,30.000,No focal subject,2630.258,partially obscured,view,feathers,,,,,STATE,372.100,374.166,2.066,nest_1_data\video\MOVI0006.avi,11163,NA,,,,
N1_m6_AF,2024-01-03 12:47:20,traveling/sitting,Media file,player #1:nest_1_data\video\MOVI0006.avi,0.0,899.935,900.033,30.000,No focal subject,2630.258,Airborne,position,,,,,,STATE,372.200,900.000,527.800,nest_1_data\video\MOVI0006.avi,11278,NA,,,,Event automatically added by the fix unpaired state events function
N1_m6_AF,2024-01-03 12:47:20,traveling/sitting,Media file,player #1:nest_1_data\video\MOVI0006.avi,0.0,899.935,900.033,30.000,No focal subject,2630.258,Takeoff,position,,,,,,POINT,372.200,372.200,NA,nest_1_data\video\MOVI0006.avi,11166,11166,,,,
N1_m6_AF,2024-01-03 12:47:20,traveling/sitting,Media file,player #1:nest_1_data\video\MOVI0006.avi,0.0,899.935,900.033,30.000,No focal subject,2630.258,obscured,view,feathers,,,,,STATE,374.167,374.199,0.032,nest_1_data\video\MOVI0006.avi,11225,NA,,,,
N1_m6_AF,2024-01-03 12:47:20,traveling/sitting,Media file,player #1:nest_1_data\video\MOVI0006.avi,0.0,899.935,900.033,30.000,No focal subject,2630.258,partially obscured,view,feathers,,,,,STATE,374.200,374.366,0.166,nest_1_data\video\MOVI0006.avi,11226,NA,,,,
N1_m6_AF,2024-01-03 12:47:20,traveling/sitting,Media file,player #1:nest_1_data\video\MOVI0006.avi,0.0,899.935,900.033,30.000,No focal subject,2630.258,obscured,view,feathers,,,,,STATE,374.367,374.432,0.065,nest_1_data\video\MOVI0006.avi,11231,NA,,,,
N1_m6_AF,2024-01-03 12:47:20,traveling/sitting,Media file,player #1:nest_1_data\video\MOVI0006.avi,0.0,899.935,900.033,30.000,No focal subject,2630.258,partially obscured,view,feathers,,,,,STATE,374.433,374.599,0.166,nest_1_data\video\MOVI0006.avi,11233,NA,,,,
N1_m6_AF,2024-01-03 12:47:20,traveling/sitting,Media file,player #1:nest_1_data\video\MOVI0006.avi,0.0,899.935,900.033,30.000,No focal subject,2630.258,obscured,view,feathers,,,,,STATE,374.600,374.666,0.066,nest_1_data\video\MOVI0006.avi,11238,NA,,,,
N1_m6_AF,2024-01-03 12:47:20,traveling/sitting,Media file,player #1:nest_1_data\video\MOVI0006.avi,0.0,899.935,900.033,30.000,No focal subject,2630.258,partially obscured,view,feathers,,,,,STATE,374.667,375.232,0.565,nest_1_data\video\MOVI0006.avi,11240,NA,,,,
N1_m6_AF,2024-01-03 12:47:20,traveling/sitting,Media file,player #1:nest_1_data\video\MOVI0006.avi,0.0,899.935,900.033,30.000,No focal subject,2630.258,obscured,view,feathers,,,,,STATE,375.233,381.699,6.466,nest_1_data\video\MOVI0006.avi,11257,NA,,,,
N1_m6_AF,2024-01-03 12:47:20,traveling/sitting,Media file,player #1:nest_1_data\video\MOVI0006.avi,0.0,899.935,900.033,30.000,No focal subject,2630.258,partially obscured,view,feathers,,,,,STATE,381.700,384.900,3.200,nest_1_data\video\MOVI0006.avi,11451,11547,,,,
N1_m6_AF,2024-01-03 12:47:20,traveling/sitting,Media file,player #1:nest_1_data\video\MOVI0006.avi,0.0,899.935,900.033,30.000,No focal subject,2630.258,other Birds present,view,0,None,None,None,None,POINT,390.000,390.000,NA,nest_1_data\video\MOVI0006.avi,11700,11700,,,,
N1_m6_AF,2024-01-03 12:47:20,traveling/sitting,Media file,player #1:nest_1_data\video\MOVI0006.avi,0.0,899.935,900.033,30.000,No focal subject,2630.258,partially obscured,view,feathers,,,,,STATE,390.767,400.033,9.266,nest_1_data\video\MOVI0006.avi,11723,12001,,,,
N1_m6_AF,2024-01-03 12:47:20,traveling/sitting,Media file,player #1:nest_1_data\video\MOVI0006.avi,0.0,899.935,900.033,30.000,No focal subject,2630.258,other Birds present,view,0,None,None,None,None,POINT,420.000,420.000,NA,nest_1_data\video\MOVI0006.avi,12600,12600,,,,
N1_m6_AF,2024-01-03 12:47:20,traveling/sitting,Media file,player #1:nest_1_data\video\MOVI0006.avi,0.0,899.935,900.033,30.000,No focal subject,2630.258,Eye/bill visible,view,,,,,,POINT,421.067,421.067,NA,nest_1_data\video\MOVI0006.avi,12632,12632,,,,
N1_m6_AF,2024-01-03 12:47:20,traveling/sitting,Media file,player #1:nest_1_data\video\MOVI0006.avi,0.0,899.935,900.033,30.000,No focal subject,2630.258,other Birds present,view,0,None,None,None,None,POINT,450.000,450.000,NA,nest_1_data\video\MOVI0006.avi,13500,13500,,,,
N1_m6_AF,2024-01-03 12:47:20,traveling/sitting,Media file,player #1:nest_1_data\video\MOVI0006.avi,0.0,899.935,900.033,30.000,No focal subject,2630.258,partially obscured,view,blurry/water,,,,,STATE,463.700,900.001,436.301,nest_1_data\video\MOVI0006.avi,13910,NA,,,,Event automatically added by the fix unpaired state events function
N1_m6_AF,2024-01-03 12:47:20,traveling/sitting,Media file,player #1:nest_1_data\video\MOVI0006.avi,0.0,899.935,900.033,30.000,No focal subject,2630.258,Eye/bill visible,view,,,,,,POINT,472.333,472.333,NA,nest_1_data\video\MOVI0006.avi,14169,14169,,,,
N1_m6_AF,2024-01-03 12:47:20,traveling/sitting,Media file,player #1:nest_1_data\video\MOVI0006.avi,0.0,899.935,900.033,30.000,No focal subject,2630.258,other Birds present,view,0,None,None,None,None,POINT,480.033,480.033,NA,nest_1_data\video\MOVI0006.avi,14400,14400,,,,
N1_m6_AF,2024-01-03 12:47:20,traveling/sitting,Media file,player #1:nest_1_data\video\MOVI0006.avi,0.0,899.935,900.033,30.000,No focal subject,2630.258,Eye/bill visible,view,,,,,,POINT,483.333,483.333,NA,nest_1_data\video\MOVI0006.avi,14499,14499,,,,
N1_m6_AF,2024-01-03 12:47:20,traveling/sitting,Media file,player #1:nest_1_data\video\MOVI0006.avi,0.0,899.935,900.033,30.000,No focal subject,2630.258,Eye/bill visible,view,,,,,,POINT,490.267,490.267,NA,nest_1_data\video\MOVI0006.avi,14707,14707,,,,
N1_m6_AF,2024-01-03 12:47:20,traveling/sitting,Media file,player #1:nest_1_data\video\MOVI0006.avi,0.0,899.935,900.033,30.000,No focal subject,2630.258,other Birds present,view,0,None,None,None,None,POINT,510.000,510.000,NA,nest_1_data\video\MOVI0006.avi,15299,15299,,,,
N1_m6_AF,2024-01-03 12:47:20,traveling/sitting,Media file,player #1:nest_1_data\video\MOVI0006.avi,0.0,899.935,900.033,30.000,No focal subject,2630.258,Eye/bill visible,view,,,,,,POINT,515.600,515.600,NA,nest_1_data\video\MOVI0006.avi,15467,15467,,,,
N1_m6_AF,2024-01-03 12:47:20,traveling/sitting,Media file,player #1:nest_1_data\video\MOVI0006.avi,0.0,899.935,900.033,30.000,No focal subject,2630.258,Eye/bill visible,view,,,,,,POINT,516.100,516.100,NA,nest_1_data\video\MOVI0006.avi,15482,15482,,,,
N1_m6_AF,2024-01-03 12:47:20,traveling/sitting,Media file,player #1:nest_1_data\video\MOVI0006.avi,0.0,899.935,900.033,30.000,No focal subject,2630.258,Identifiable/individual birds,view,1,unkown,adult,parallel flight,,POINT,532.200,532.200,NA,nest_1_data\video\MOVI0006.avi,15965,15965,,,,
N1_m6_AF,2024-01-03 12:47:20,traveling/sitting,Media file,player #1:nest_1_data\video\MOVI0006.avi,0.0,899.935,900.033,30.000,No focal subject,2630.258,Eye/bill visible,view,,,,,,POINT,535.167,535.167,NA,nest_1_data\video\MOVI0006.avi,16054,16054,,,,
N1_m6_AF,2024-01-03 12:47:20,traveling/sitting,Media file,player #1:nest_1_data\video\MOVI0006.avi,0.0,899.935,900.033,30.000,No focal subject,2630.258,other Birds present,view,2,unknown,flying,close - well defined body and movements,close,POINT,540.033,540.033,NA,nest_1_data\video\MOVI0006.avi,16200,16200,,,,
N1_m6_AF,2024-01-03 12:47:20,traveling/sitting,Media file,player #1:nest_1_data\video\MOVI0006.avi,0.0,899.935,900.033,30.000,No focal subject,2630.258,Identifiable/individual birds,view,1,brown noddy,adult,parallel flight,,POINT,549.067,549.067,NA,nest_1_data\video\MOVI0006.avi,16471,16471,,,,
N1_m6_AF,2024-01-03 12:47:20,traveling/sitting,Media file,player #1:nest_1_data\video\MOVI0006.avi,0.0,899.935,900.033,30.000,No focal subject,2630.258,other Birds present,view,3,"other,unknown",flying,close - well defined body and movements,mid,POINT,570.000,570.000,NA,nest_1_data\video\MOVI0006.avi,17099,17099,,,,
N1_m6_AF,2024-01-03 12:47:20,traveling/sitting,Media file,player #1:nest_1_data\video\MOVI0006.avi,0.0,899.935,900.033,30.000,No focal subject,2630.258,Identifiable/individual birds,view,1,unkown,adult,flying: other,,POINT,575.200,575.200,NA,nest_1_data\video\MOVI0006.avi,17255,17255,,,,
N1_m6_AF,2024-01-03 12:47:20,traveling/sitting,Media file,player #1:nest_1_data\video\MOVI0006.avi,0.0,899.935,900.033,30.000,No focal subject,2630.258,Eye/bill visible,view,,,,,,POINT,575.733,575.733,NA,nest_1_data\video\MOVI0006.avi,17271,17271,,,,
N1_m6_AF,2024-01-03 12:47:20,traveling/sitting,Media file,player #1:nest_1_data\video\MOVI0006.avi,0.0,899.935,900.033,30.000,No focal subject,2630.258,other Birds present,view,1,unknown,flying,close - well defined body and movements,close,POINT,599.967,599.967,NA,nest_1_data\video\MOVI0006.avi,17998,17998,,,,
N1_m6_AF,2024-01-03 12:47:20,traveling/sitting,Media file,player #1:nest_1_data\video\MOVI0006.avi,0.0,899.935,900.033,30.000,No focal subject,2630.258,Eye/bill visible,view,,,,,,POINT,605.767,605.767,NA,nest_1_data\video\MOVI0006.avi,18172,18172,,,,
N1_m6_AF,2024-01-03 12:47:20,traveling/sitting,Media file,player #1:nest_1_data\video\MOVI0006.avi,0.0,899.935,900.033,30.000,No focal subject,2630.258,Eye/bill visible,view,,,,,,POINT,606.133,606.133,NA,nest_1_data\video\MOVI0006.avi,18183,18183,,,,
N1_m6_AF,2024-01-03 12:47:20,traveling/sitting,Media file,player #1:nest_1_data\video\MOVI0006.avi,0.0,899.935,900.033,30.000,No focal subject,2630.258,Eye/bill visible,view,,,,,,POINT,606.333,606.333,NA,nest_1_data\video\MOVI0006.avi,18189,18189,,,,
N1_m6_AF,2024-01-03 12:47:20,traveling/sitting,Media file,player #1:nest_1_data\video\MOVI0006.avi,0.0,899.935,900.033,30.000,No focal subject,2630.258,Eye/bill visible,view,,,,,,POINT,612.467,612.467,NA,nest_1_data\video\MOVI0006.avi,18373,18373,,,,
N1_m6_AF,2024-01-03 12:47:20,traveling/sitting,Media file,player #1:nest_1_data\video\MOVI0006.avi,0.0,899.935,900.033,30.000,No focal subject,2630.258,Eye/bill visible,view,,,,,,POINT,614.200,614.200,NA,nest_1_data\video\MOVI0006.avi,18425,18425,,,,
N1_m6_AF,2024-01-03 12:47:20,traveling/sitting,Media file,player #1:nest_1_data\video\MOVI0006.avi,0.0,899.935,900.033,30.000,No focal subject,2630.258,other Birds present,view,3,unknown,flying,close - well defined body and movements,far,POINT,630.033,630.033,NA,nest_1_data\video\MOVI0006.avi,18900,18900,,,,
N1_m6_AF,2024-01-03 12:47:20,traveling/sitting,Media file,player #1:nest_1_data\video\MOVI0006.avi,0.0,899.935,900.033,30.000,No focal subject,2630.258,other Birds present,view,0,None,None,None,None,POINT,660.000,660.000,NA,nest_1_data\video\MOVI0006.avi,19799,19799,,,,
