Observation id,Observation date,Description,Observation type,Source,Time offset (s),Coding duration,Media duration (s),FPS (frame/s),Subject,Observation duration by subject by observation,Behavior,Behavioral category,Modifier #1,Modifier #2,Modifier #3,Modifier #4,Modifier #5,Behavior type,Start (s),Stop (s),Duration (s),Media file name,Image index start,Image index stop,Image file path start,Image file path stop,Comment start,Comment stop
N23_m1_AS.from AF,2024-04-18 17:07:30,"traveling,  foraging- 2 failed type 3 -lone flying fish, no MPs resting-rafting with others",Media file,player #1:nest_23_data\VIDEO\MOVI0001.avi,0.0,1799.961,1800.033,30.000,No focal subject,5377.428,Airborne,position,,,,,,STATE,0.067,44.099,44.032,nest_23_data\VIDEO\MOVI0001.avi,2,NA,,,,
N23_m1_AS.from AF,2024-04-18 17:07:30,"traveling,  foraging- 2 failed type 3 -lone flying fish, no MPs resting-rafting with others",Media file,player #1:nest_23_data\VIDEO\MOVI0001.avi,0.0,1799.961,1800.033,30.000,No focal subject,5377.428,partially obscured,view,feathers,,,,,STATE,0.067,44.199,44.132,nest_23_data\VIDEO\MOVI0001.avi,2,NA,,,,
N23_m1_AS.from AF,2024-04-18 17:07:30,"traveling,  foraging- 2 failed type 3 -lone flying fish, no MPs resting-rafting with others",Media file,player #1:nest_23_data\VIDEO\MOVI0001.avi,0.0,1799.961,1800.033,30.000,No focal subject,5377.428,weather notes,Not defined,light partial clouds,None,2 - small wavelets glassy crests not breaking,,,STATE,0.067,1800.028,1799.961,nest_23_data\VIDEO\MOVI0001.avi,2,53780,,,,
N23_m1_AS.from AF,2024-04-18 17:07:30,"traveling,  foraging- 2 failed type 3 -lone flying fish, no MPs resting-rafting with others",Media file,player #1:nest_23_data\VIDEO\MOVI0001.avi,0.0,1799.961,1800.033,30.000,No focal subject,5377.428,Identifiable/individual birds,view,2,booby- Sula sp,adult,parallel flight,,POINT,10.067,10.067,NA,nest_23_data\VIDEO\MOVI0001.avi,302,302,,,,
N23_m1_AS.from AF,2024-04-18 17:07:30,"traveling,  foraging- 2 failed type 3 -lone flying fish, no MPs resting-rafting with others",Media file,player #1:nest_23_data\VIDEO\MOVI0001.avi,0.0,1799.961,1800.033,30.000,No focal subject,5377.428,other Birds present,view,5,"RFBO,booby- Sula sp",flying,close - well defined body and movements,mid,POINT,30.000,30.000,NA,nest_23_data\VIDEO\MOVI0001.avi,900,900,,,,
N23_m1_AS.from AF,2024-04-18 17:07:30,"traveling,  foraging- 2 failed type 3 -lone flying fish, no MPs resting-rafting with others",Media file,player #1:nest_23_data\VIDEO\MOVI0001.avi,0.0,1799.961,1800.033,30.000,No focal subject,5377.428,Identifiable/individual birds,view,1,booby- Sula sp,adult,parallel flight,,POINT,34.133,34.133,NA,nest_23_data\VIDEO\MOVI0001.avi,1024,1024,,,,
N23_m1_AS.from AF,2024-04-18 17:07:30,"traveling,  foraging- 2 failed type 3 -lone flying fish, no MPs resting-rafting with others",Media file,player #1:nest_23_data\VIDEO\MOVI0001.avi,0.0,1799.961,1800.033,30.000,No focal subject,5377.428,Identifiable/individual birds,view,1,RFBO,adult,landing,,POINT,42.067,42.067,NA,nest_23_data\VIDEO\MOVI0001.avi,1262,1262,,,,
N23_m1_AS.from AF,2024-04-18 17:07:30,"traveling,  foraging- 2 failed type 3 -lone flying fish, no MPs resting-rafting with others",Media file,player #1:nest_23_data\VIDEO\MOVI0001.avi,0.0,1799.961,1800.033,30.000,No focal subject,5377.428,Landing,position,,,,,,POINT,44.100,44.100,NA,nest_23_data\VIDEO\MOVI0001.avi,1323,1323,,,,
N23_m1_AS.from AF,2024-04-18 17:07:30,"traveling,  foraging- 2 failed type 3 -lone flying fish, no MPs resting-rafting with others",Media file,player #1:nest_23_data\VIDEO\MOVI0001.avi,0.0,1799.961,1800.033,30.000,No focal subject,5377.428,obscured,view,feathers,,,,,STATE,44.200,110.767,66.567,nest_23_data\VIDEO\MOVI0001.avi,1326,NA,,,,
N23_m1_AS.from AF,2024-04-18 17:07:30,"traveling,  foraging- 2 failed type 3 -lone flying fish, no MPs resting-rafting with others",Media file,player #1:nest_23_data\VIDEO\MOVI0001.avi,0.0,1799.961,1800.033,30.000,No focal subject,5377.428,Sitting,position,,,,,,STATE,44.500,110.899,66.399,nest_23_data\VIDEO\MOVI0001.avi,1335,NA,,,,
