Observation id,Observation date,Description,Observation type,Source,Time offset (s),Coding duration,Media duration (s),FPS (frame/s),Subject,Observation duration by subject by observation,Behavior,Behavioral category,Modifier #1,Modifier #2,Modifier #3,Modifier #4,Modifier #5,Behavior type,Start (s),Stop (s),Duration (s),Media file name,Image index start,Image index stop,Image file path start,Image file path stop,Comment start,Comment stop
N23_mov4_AF,2024-04-20 13:55:04,fully obscured,Media file,player #1:nest_23_data\VIDEO\MOVI0004.avi,0.0,1799.978,1800.033,30.000,No focal subject,3921.786,Sitting,position,,,,,,STATE,0.033,1556.666,1556.633,nest_23_data\VIDEO\MOVI0004.avi,1,NA,,,,
N23_mov4_AF,2024-04-20 13:55:04,fully obscured,Media file,player #1:nest_23_data\VIDEO\MOVI0004.avi,0.0,1799.978,1800.033,30.000,No focal subject,3921.786,obscured,view,feathers,,,,,STATE,0.033,1557.066,1557.033,nest_23_data\VIDEO\MOVI0004.avi,1,NA,,,,
N23_mov4_AF,2024-04-20 13:55:04,fully obscured,Media file,player #1:nest_23_data\VIDEO\MOVI0004.avi,0.0,1799.978,1800.033,30.000,No focal subject,3921.786,Takeoff,position,,,,,,POINT,1556.667,1556.667,NA,nest_23_data\VIDEO\MOVI0004.avi,46699,46699,,,,
N23_mov4_AF,2024-04-20 13:55:04,fully obscured,Media file,player #1:nest_23_data\VIDEO\MOVI0004.avi,0.0,1799.978,1800.033,30.000,No focal subject,3921.786,partially obscured,view,blurry/water,,,,,STATE,1557.067,1557.099,0.032,nest_23_data\VIDEO\MOVI0004.avi,46711,NA,,,,
N23_mov4_AF,2024-04-20 13:55:04,fully obscured,Media file,player #1:nest_23_data\VIDEO\MOVI0004.avi,0.0,1799.978,1800.033,30.000,No focal subject,3921.786,obscured,view,feathers,,,,,STATE,1557.100,1559.166,2.066,nest_23_data\VIDEO\MOVI0004.avi,46712,NA,,,,
N23_mov4_AF,2024-04-20 13:55:04,fully obscured,Media file,player #1:nest_23_data\VIDEO\MOVI0004.avi,0.0,1799.978,1800.033,30.000,No focal subject,3921.786,partially obscured,view,feathers,,,,,STATE,1559.167,1559.199,0.032,nest_23_data\VIDEO\MOVI0004.avi,46774,NA,,,,
N23_mov4_AF,2024-04-20 13:55:04,fully obscured,Media file,player #1:nest_23_data\VIDEO\MOVI0004.avi,0.0,1799.978,1800.033,30.000,No focal subject,3921.786,obscured,view,feathers,,,,,STATE,1559.200,1575.332,16.132,nest_23_data\VIDEO\MOVI0004.avi,46775,NA,,,,
N23_mov4_AF,2024-04-20 13:55:04,fully obscured,Media file,player #1:nest_23_data\VIDEO\MOVI0004.avi,0.0,1799.978,1800.033,30.000,No focal subject,3921.786,Airborne,position,,,,,,STATE,1559.333,1800.011,240.678,nest_23_data\VIDEO\MOVI0004.avi,46779,53999,,,,
N23_mov4_AF,2024-04-20 13:55:04,fully obscured,Media file,player #1:nest_23_data\VIDEO\MOVI0004.avi,0.0,1799.978,1800.033,30.000,No focal subject,3921.786,partially obscured,view,blurry/water,,,,,STATE,1575.333,1800.000,224.667,nest_23_data\VIDEO\MOVI0004.avi,47259,NA,,,,Event automatically added by the fix unpaired state events function
N23_mov4_AF,2024-04-20 13:55:04,fully obscured,Media file,player #1:nest_23_data\VIDEO\MOVI0004.avi,0.0,1799.978,1800.033,30.000,No focal subject,3921.786,obscured,view,feathers,,,,,STATE,1576.032,1693.399,117.367,nest_23_data\VIDEO\MOVI0004.avi,NA,NA,,,,
