Observation id,Observation date,Description,Observation type,Source,Time offset (s),Coding duration,Media duration (s),FPS (frame/s),Subject,Observation duration by subject by observation,Behavior,Behavioral category,Modifier #1,Modifier #2,Modifier #3,Modifier #4,Modifier #5,Behavior type,Start (s),Stop (s),Duration (s),Media file name,Image index start,Image index stop,Image file path start,Image file path stop,Comment start,Comment stop
N33_m4_j+as,2024-04-03 16:40:00,"foragign (incl t3) , MP, resting",Media file,player #1:nest_33_data\VIDEO\MOVI0004.avi,0.0,1800.067,1800.033,30.000,No focal subject,4476.521,Airborne,position,,,,,,STATE,0.033,210.999,210.966,nest_33_data\VIDEO\MOVI0004.avi,1,NA,,,,
N33_m4_j+as,2024-04-03 16:40:00,"foragign (incl t3) , MP, resting",Media file,player #1:nest_33_data\VIDEO\MOVI0004.avi,0.0,1800.067,1800.033,30.000,No focal subject,4476.521,partially obscured,view,blurry/water,,,,,STATE,1.400,214.066,212.666,nest_33_data\VIDEO\MOVI0004.avi,42,NA,,,,
N33_m4_j+as,2024-04-03 16:40:00,"foragign (incl t3) , MP, resting",Media file,player #1:nest_33_data\VIDEO\MOVI0004.avi,0.0,1800.067,1800.033,30.000,No focal subject,4476.521,Identifiable/individual birds,view,1,RFBO,adult,cross paths,,POINT,4.567,4.567,NA,nest_33_data\VIDEO\MOVI0004.avi,137,137,,,,
N33_m4_j+as,2024-04-03 16:40:00,"foragign (incl t3) , MP, resting",Media file,player #1:nest_33_data\VIDEO\MOVI0004.avi,0.0,1800.067,1800.033,30.000,No focal subject,4476.521,weather notes,Not defined,heavy partial clouds,None,3 - large wavelets crests breaking some scttered whitecaps,,,STATE,6.833,1800.100,1793.267,nest_33_data\VIDEO\MOVI0004.avi,205,53852,,,,
N33_m4_j+as,2024-04-03 16:40:00,"foragign (incl t3) , MP, resting",Media file,player #1:nest_33_data\VIDEO\MOVI0004.avi,0.0,1800.067,1800.033,30.000,No focal subject,4476.521,Eye/bill visible,view,,,,,,POINT,15.300,15.300,NA,nest_33_data\VIDEO\MOVI0004.avi,459,459,,,,
N33_m4_j+as,2024-04-03 16:40:00,"foragign (incl t3) , MP, resting",Media file,player #1:nest_33_data\VIDEO\MOVI0004.avi,0.0,1800.067,1800.033,30.000,No focal subject,4476.521,Identifiable/individual birds,view,1,RFBO,adult,cross paths,,POINT,32.167,32.167,NA,nest_33_data\VIDEO\MOVI0004.avi,965,965,,,,
N33_m4_j+as,2024-04-03 16:40:00,"foragign (incl t3) , MP, resting",Media file,player #1:nest_33_data\VIDEO\MOVI0004.avi,0.0,1800.067,1800.033,30.000,No focal subject,4476.521,Identifiable/individual birds,view,1,RFBO,adult,cross paths,,POINT,41.000,41.000,NA,nest_33_data\VIDEO\MOVI0004.avi,1230,1230,,,,
N33_m4_j+as,2024-04-03 16:40:00,"foragign (incl t3) , MP, resting",Media file,player #1:nest_33_data\VIDEO\MOVI0004.avi,0.0,1800.067,1800.033,30.000,No focal subject,4476.521,Identifiable/individual birds,view,1,booby- Sula sp,adult,cross paths,,POINT,41.367,41.367,NA,nest_33_data\VIDEO\MOVI0004.avi,1241,1241,,,,
N33_m4_j+as,2024-04-03 16:40:00,"foragign (incl t3) , MP, resting",Media file,player #1:nest_33_data\VIDEO\MOVI0004.avi,0.0,1800.067,1800.033,30.000,No focal subject,4476.521,Identifiable/individual birds,view,1,RFBO,adult,cross paths,,POINT,54.367,54.367,NA,nest_33_data\VIDEO\MOVI0004.avi,1631,1631,,,,
N33_m4_j+as,2024-04-03 16:40:00,"foragign (incl t3) , MP, resting",Media file,player #1:nest_33_data\VIDEO\MOVI0004.avi,0.0,1800.067,1800.033,30.000,No focal subject,4476.521,Eye/bill visible,view,,,,,,POINT,65.400,65.400,NA,nest_33_data\VIDEO\MOVI0004.avi,1962,1962,,,,
N33_m4_j+as,2024-04-03 16:40:00,"foragign (incl t3) , MP, resting",Media file,player #1:nest_33_data\VIDEO\MOVI0004.avi,0.0,1800.067,1800.033,30.000,No focal subject,4476.521,Identifiable/individual birds,view,1,RFBO,adult,parallel flight,,POINT,68.267,68.267,NA,nest_33_data\VIDEO\MOVI0004.avi,2048,2048,,,,
N33_m4_j+as,2024-04-03 16:40:00,"foragign (incl t3) , MP, resting",Media file,player #1:nest_33_data\VIDEO\MOVI0004.avi,0.0,1800.067,1800.033,30.000,No focal subject,4476.521,Eye/bill visible,view,,,,,,POINT,79.267,79.267,NA,nest_33_data\VIDEO\MOVI0004.avi,2378,2378,,,,
N33_m4_j+as,2024-04-03 16:40:00,"foragign (incl t3) , MP, resting",Media file,player #1:nest_33_data\VIDEO\MOVI0004.avi,0.0,1800.067,1800.033,30.000,No focal subject,4476.521,Eye/bill visible,view,,,,,,POINT,83.333,83.333,NA,nest_33_data\VIDEO\MOVI0004.avi,2500,2500,,,,
