Observation id,Observation date,Description,Observation type,Source,Time offset (s),Coding duration,Media duration (s),FPS (frame/s),Subject,Observation duration by subject by observation,Behavior,Behavioral category,Modifier #1,Modifier #2,Modifier #3,Modifier #4,Modifier #5,Behavior type,Start (s),Stop (s),Duration (s),Media file name,Image index start,Image index stop,Image file path start,Image file path stop,Comment start,Comment stop
N36_m1_J,2023-12-05 17:27:49,"resting, foraging no t3",Media file,player #1:nest_36_data\VIDEO\MOVI0001.avi,0.0,1799.944,1800.033,30.000,No focal subject,4783.259,obscured,view,unknown/other,,,,,STATE,0.067,127.400,127.333,nest_36_data\VIDEO\MOVI0001.avi,2,3822,,,,
N36_m1_J,2023-12-05 17:27:49,"resting, foraging no t3",Media file,player #1:nest_36_data\VIDEO\MOVI0001.avi,0.0,1799.944,1800.033,30.000,No focal subject,4783.259,partially obscured,view,blurry/water,,,,,STATE,127.400,130.333,2.933,nest_36_data\VIDEO\MOVI0001.avi,3822,3910,,,,
N36_m1_J,2023-12-05 17:27:49,"resting, foraging no t3",Media file,player #1:nest_36_data\VIDEO\MOVI0001.avi,0.0,1799.944,1800.033,30.000,No focal subject,4783.259,Takeoff,position,,,,,,POINT,128.700,128.700,NA,nest_36_data\VIDEO\MOVI0001.avi,3861,3861,,,,
N36_m1_J,2023-12-05 17:27:49,"resting, foraging no t3",Media file,player #1:nest_36_data\VIDEO\MOVI0001.avi,0.0,1799.944,1800.033,30.000,No focal subject,4783.259,Airborne,position,,,,,,STATE,132.900,252.699,119.799,nest_36_data\VIDEO\MOVI0001.avi,3987,NA,,,,
N36_m1_J,2023-12-05 17:27:49,"resting, foraging no t3",Media file,player #1:nest_36_data\VIDEO\MOVI0001.avi,0.0,1799.944,1800.033,30.000,No focal subject,4783.259,weather notes,Not defined,heavy partial clouds,None,3 - large wavelets crests breaking some scttered whitecaps,,,STATE,132.900,195.999,63.099,nest_36_data\VIDEO\MOVI0001.avi,3987,NA,,,,
N36_m1_J,2023-12-05 17:27:49,"resting, foraging no t3",Media file,player #1:nest_36_data\VIDEO\MOVI0001.avi,0.0,1799.944,1800.033,30.000,No focal subject,4783.259,Eye/bill visible,view,,,,,,POINT,136.700,136.700,NA,nest_36_data\VIDEO\MOVI0001.avi,4101,4101,,,,
N36_m1_J,2023-12-05 17:27:49,"resting, foraging no t3",Media file,player #1:nest_36_data\VIDEO\MOVI0001.avi,0.0,1799.944,1800.033,30.000,No focal subject,4783.259,other Birds present,view,0,None,None,None,None,POINT,150.000,150.000,NA,nest_36_data\VIDEO\MOVI0001.avi,4500,4500,,,,
N36_m1_J,2023-12-05 17:27:49,"resting, foraging no t3",Media file,player #1:nest_36_data\VIDEO\MOVI0001.avi,0.0,1799.944,1800.033,30.000,No focal subject,4783.259,Eye/bill visible,view,,,,,,POINT,165.033,165.033,NA,nest_36_data\VIDEO\MOVI0001.avi,4951,4951,,,,
N36_m1_J,2023-12-05 17:27:49,"resting, foraging no t3",Media file,player #1:nest_36_data\VIDEO\MOVI0001.avi,0.0,1799.944,1800.033,30.000,No focal subject,4783.259,other Birds present,view,0,None,None,None,None,POINT,180.033,180.033,NA,nest_36_data\VIDEO\MOVI0001.avi,5401,5401,,,,
N36_m1_J,2023-12-05 17:27:49,"resting, foraging no t3",Media file,player #1:nest_36_data\VIDEO\MOVI0001.avi,0.0,1799.944,1800.033,30.000,No focal subject,4783.259,Eye/bill visible,view,,,,,,POINT,189.833,189.833,NA,nest_36_data\VIDEO\MOVI0001.avi,5695,5695,,,,
N36_m1_J,2023-12-05 17:27:49,"resting, foraging no t3",Media file,player #1:nest_36_data\VIDEO\MOVI0001.avi,0.0,1799.944,1800.033,30.000,No focal subject,4783.259,weather notes,Not defined,light partial clouds,rain,3 - large wavelets crests breaking some scttered whitecaps,,,STATE,196.000,1800.011,1604.011,nest_36_data\VIDEO\MOVI0001.avi,5880,53999,,,,
N36_m1_J,2023-12-05 17:27:49,"resting, foraging no t3",Media file,player #1:nest_36_data\VIDEO\MOVI0001.avi,0.0,1799.944,1800.033,30.000,No focal subject,4783.259,other Birds present,view,0,None,None,None,None,POINT,210.033,210.033,NA,nest_36_data\VIDEO\MOVI0001.avi,6301,6301,,,,
