Observation id,Observation date,Description,Observation type,Source,Time offset (s),Coding duration,Media duration (s),FPS (frame/s),Subject,Observation duration by subject by observation,Behavior,Behavioral category,Modifier #1,Modifier #2,Modifier #3,Modifier #4,Modifier #5,Behavior type,Start (s),Stop (s),Duration (s),Media file name,Image index start,Image index stop,Image file path start,Image file path stop,Comment start,Comment stop
N43_m7_EF,2025-07-18 16:52:32,"resting, traveling",Media file,player #1:nest_43_data\VIDEO\MOVI0007.avi,0.0,464.202,464.300,30.000,No focal subject,1253.899,Sitting,position,,,,,,STATE,0.100,110.199,110.099,nest_43_data\VIDEO\MOVI0007.avi,3,NA,,,,
N43_m7_EF,2025-07-18 16:52:32,"resting, traveling",Media file,player #1:nest_43_data\VIDEO\MOVI0007.avi,0.0,464.202,464.300,30.000,No focal subject,1253.899,obscured,view,feathers,,,,,STATE,0.100,109.166,109.066,nest_43_data\VIDEO\MOVI0007.avi,3,NA,,,,
N43_m7_EF,2025-07-18 16:52:32,"resting, traveling",Media file,player #1:nest_43_data\VIDEO\MOVI0007.avi,0.0,464.202,464.300,30.000,No focal subject,1253.899,weather notes,Not defined,light partial clouds,None,2 - small wavelets glassy crests not breaking,,,STATE,0.100,464.302,464.202,nest_43_data\VIDEO\MOVI0007.avi,3,13929,,,,
N43_m7_EF,2025-07-18 16:52:32,"resting, traveling",Media file,player #1:nest_43_data\VIDEO\MOVI0007.avi,0.0,464.202,464.300,30.000,No focal subject,1253.899,other Birds present,view,0,None,None,None,None,POINT,30.000,30.000,NA,nest_43_data\VIDEO\MOVI0007.avi,900,900,,,,
N43_m7_EF,2025-07-18 16:52:32,"resting, traveling",Media file,player #1:nest_43_data\VIDEO\MOVI0007.avi,0.0,464.202,464.300,30.000,No focal subject,1253.899,other Birds present,view,0,None,None,None,None,POINT,59.967,59.967,NA,nest_43_data\VIDEO\MOVI0007.avi,1799,1799,,,,
N43_m7_EF,2025-07-18 16:52:32,"resting, traveling",Media file,player #1:nest_43_data\VIDEO\MOVI0007.avi,0.0,464.202,464.300,30.000,No focal subject,1253.899,other Birds present,view,0,None,None,None,None,POINT,90.000,90.000,NA,nest_43_data\VIDEO\MOVI0007.avi,2700,2700,,,,
N43_m7_EF,2025-07-18 16:52:32,"resting, traveling",Media file,player #1:nest_43_data\VIDEO\MOVI0007.avi,0.0,464.202,464.300,30.000,No focal subject,1253.899,partially obscured,view,feathers,,,,,STATE,109.167,111.667,2.500,nest_43_data\VIDEO\MOVI0007.avi,3275,3350,,,,
N43_m7_EF,2025-07-18 16:52:32,"resting, traveling",Media file,player #1:nest_43_data\VIDEO\MOVI0007.avi,0.0,464.202,464.300,30.000,No focal subject,1253.899,Takeoff,position,,,,,,POINT,110.200,110.200,NA,nest_43_data\VIDEO\MOVI0007.avi,3306,3306,,,,
N43_m7_EF,2025-07-18 16:52:32,"resting, traveling",Media file,player #1:nest_43_data\VIDEO\MOVI0007.avi,0.0,464.202,464.300,30.000,No focal subject,1253.899,Airborne,position,,,,,,STATE,112.900,179.832,66.932,nest_43_data\VIDEO\MOVI0007.avi,3387,NA,,,,
N43_m7_EF,2025-07-18 16:52:32,"resting, traveling",Media file,player #1:nest_43_data\VIDEO\MOVI0007.avi,0.0,464.202,464.300,30.000,No focal subject,1253.899,other Birds present,view,0,None,None,None,None,POINT,120.000,120.000,NA,nest_43_data\VIDEO\MOVI0007.avi,3600,3600,,,,
N43_m7_EF,2025-07-18 16:52:32,"resting, traveling",Media file,player #1:nest_43_data\VIDEO\MOVI0007.avi,0.0,464.202,464.300,30.000,No focal subject,1253.899,Identifiable/individual birds,view,1,brown noddy,adult,takeoff,,POINT,130.767,130.767,NA,nest_43_data\VIDEO\MOVI0007.avi,3923,3923,,,,
N43_m7_EF,2025-07-18 16:52:32,"resting, traveling",Media file,player #1:nest_43_data\VIDEO\MOVI0007.avi,0.0,464.202,464.300,30.000,No focal subject,1253.899,Identifiable/individual birds,view,1,RFBO,adult,sitting,,POINT,131.367,131.367,NA,nest_43_data\VIDEO\MOVI0007.avi,3941,3941,,,,
N43_m7_EF,2025-07-18 16:52:32,"resting, traveling",Media file,player #1:nest_43_data\VIDEO\MOVI0007.avi,0.0,464.202,464.300,30.000,No focal subject,1253.899,other Birds present,view,22,"RFBO,brown noddy","flying,sitting,pile",close - well defined body and movements,mid,POINT,150.000,150.000,NA,nest_43_data\VIDEO\MOVI0007.avi,4500,4500,,,,
N43_m7_EF,2025-07-18 16:52:32,"resting, traveling",Media file,player #1:nest_43_data\VIDEO\MOVI0007.avi,0.0,464.202,464.300,30.000,No focal subject,1253.899,Identifiable/individual birds,view,1,RFBO,adult,sitting,,POINT,152.700,152.700,NA,nest_43_data\VIDEO\MOVI0007.avi,4581,4581,,,,
N43_m7_EF,2025-07-18 16:52:32,"resting, traveling",Media file,player #1:nest_43_data\VIDEO\MOVI0007.avi,0.0,464.202,464.300,30.000,No focal subject,1253.899,Identifiable/individual birds,view,1,RFBO,adult,sitting,,POINT,159.467,159.467,NA,nest_43_data\VIDEO\MOVI0007.avi,4784,4784,,,,
N43_m7_EF,2025-07-18 16:52:32,"resting, traveling",Media file,player #1:nest_43_data\VIDEO\MOVI0007.avi,0.0,464.202,464.300,30.000,No focal subject,1253.899,Identifiable/individual birds,view,1,brown noddy,adult,cross paths,,POINT,160.400,160.400,NA,nest_43_data\VIDEO\MOVI0007.avi,4812,4812,,,,
N43_m7_EF,2025-07-18 16:52:32,"resting, traveling",Media file,player #1:nest_43_data\VIDEO\MOVI0007.avi,0.0,464.202,464.300,30.000,No focal subject,1253.899,Identifiable/individual birds,view,1,RFBO,adult,cross paths,,POINT,168.600,168.600,NA,nest_43_data\VIDEO\MOVI0007.avi,5058,5058,,,,
N43_m7_EF,2025-07-18 16:52:32,"resting, traveling",Media file,player #1:nest_43_data\VIDEO\MOVI0007.avi,0.0,464.202,464.300,30.000,No focal subject,1253.899,Landing,position,,,,,,POINT,179.833,179.833,NA,nest_43_data\VIDEO\MOVI0007.avi,5395,5395,,,,
N43_m7_EF,2025-07-18 16:52:32,"resting, traveling",Media file,player #1:nest_43_data\VIDEO\MOVI0007.avi,0.0,464.202,464.300,30.000,No focal subject,1253.899,other Birds present,view,23,"RFBO,brown noddy","flying,sitting,pile",close - well defined body and movements,mid,POINT,179.967,179.967,NA,nest_43_data\VIDEO\MOVI0007.avi,5399,5399,,,,
N43_m7_EF,2025-07-18 16:52:32,"resting, traveling",Media file,player #1:nest_43_data\VIDEO\MOVI0007.avi,0.0,464.202,464.300,30.000,No focal subject,1253.899,obscured,view,feathers,,,,,STATE,179.967,362.299,182.332,nest_43_data\VIDEO\MOVI0007.avi,5399,NA,,,,
N43_m7_EF,2025-07-18 16:52:32,"resting, traveling",Media file,player #1:nest_43_data\VIDEO\MOVI0007.avi,0.0,464.202,464.300,30.000,No focal subject,1253.899,Sitting,position,,,,,,STATE,180.567,362.932,182.365,nest_43_data\VIDEO\MOVI0007.avi,5417,NA,,,,
N43_m7_EF,2025-07-18 16:52:32,"resting, traveling",Media file,player #1:nest_43_data\VIDEO\MOVI0007.avi,0.0,464.202,464.300,30.000,No focal subject,1253.899,other Birds present,view,0,None,None,None,None,POINT,210.000,210.000,NA,nest_43_data\VIDEO\MOVI0007.avi,6300,6300,,,,
N43_m7_EF,2025-07-18 16:52:32,"resting, traveling",Media file,player #1:nest_43_data\VIDEO\MOVI0007.avi,0.0,464.202,464.300,30.000,No focal subject,1253.899,other Birds present,view,0,None,None,None,None,POINT,240.000,240.000,NA,nest_43_data\VIDEO\MOVI0007.avi,7200,7200,,,,
N43_m7_EF,2025-07-18 16:52:32,"resting, traveling",Media file,player #1:nest_43_data\VIDEO\MOVI0007.avi,0.0,464.202,464.300,30.000,No focal subject,1253.899,other Birds present,view,0,None,None,None,None,POINT,270.000,270.000,NA,nest_43_data\VIDEO\MOVI0007.avi,8100,8100,,,,
N43_m7_EF,2025-07-18 16:52:32,"resting, traveling",Media file,player #1:nest_43_data\VIDEO\MOVI0007.avi,0.0,464.202,464.300,30.000,No focal subject,1253.899,other Birds present,view,0,None,None,None,None,POINT,300.000,300.000,NA,nest_43_data\VIDEO\MOVI0007.avi,9000,9000,,,,
N43_m7_EF,2025-07-18 16:52:32,"resting, traveling",Media file,player #1:nest_43_data\VIDEO\MOVI0007.avi,0.0,464.202,464.300,30.000,No focal subject,1253.899,other Birds present,view,0,None,None,None,None,POINT,330.000,330.000,NA,nest_43_data\VIDEO\MOVI0007.avi,9900,9900,,,,
N43_m7_EF,2025-07-18 16:52:32,"resting, traveling",Media file,player #1:nest_43_data\VIDEO\MOVI0007.avi,0.0,464.202,464.300,30.000,No focal subject,1253.899,other Birds present,view,0,None,None,None,None,POINT,360.000,360.000,NA,nest_43_data\VIDEO\MOVI0007.avi,10800,10800,,,,
N43_m7_EF,2025-07-18 16:52:32,"resting, traveling",Media file,player #1:nest_43_data\VIDEO\MOVI0007.avi,0.0,464.202,464.300,30.000,No focal subject,1253.899,partially obscured,view,feathers,,,,,STATE,362.300,362.667,0.367,nest_43_data\VIDEO\MOVI0007.avi,10869,10880,,,,
N43_m7_EF,2025-07-18 16:52:32,"resting, traveling",Media file,player #1:nest_43_data\VIDEO\MOVI0007.avi,0.0,464.202,464.300,30.000,No focal subject,1253.899,Takeoff,position,,,,,,POINT,362.933,362.933,NA,nest_43_data\VIDEO\MOVI0007.avi,10888,10888,,,,
N43_m7_EF,2025-07-18 16:52:32,"resting, traveling",Media file,player #1:nest_43_data\VIDEO\MOVI0007.avi,0.0,464.202,464.300,30.000,No focal subject,1253.899,Airborne,position,,,,,,STATE,364.000,427.899,63.899,nest_43_data\VIDEO\MOVI0007.avi,10925,NA,,,,
N43_m7_EF,2025-07-18 16:52:32,"resting, traveling",Media file,player #1:nest_43_data\VIDEO\MOVI0007.avi,0.0,464.202,464.300,30.000,No focal subject,1253.899,other Birds present,view,20,unknown,"flying,pile",far-moving speck or lines,far,POINT,390.000,390.000,NA,nest_43_data\VIDEO\MOVI0007.avi,11700,11700,,,,
N43_m7_EF,2025-07-18 16:52:32,"resting, traveling",Media file,player #1:nest_43_data\VIDEO\MOVI0007.avi,0.0,464.202,464.300,30.000,No focal subject,1253.899,other Birds present,view,23,"RFBO,unknown,brown noddy","flying,sitting,pile",mid distance - shape and movement visible,mid,POINT,420.000,420.000,NA,nest_43_data\VIDEO\MOVI0007.avi,12600,12600,,,,
N43_m7_EF,2025-07-18 16:52:32,"resting, traveling",Media file,player #1:nest_43_data\VIDEO\MOVI0007.avi,0.0,464.202,464.300,30.000,No focal subject,1253.899,Landing,position,,,,,,POINT,427.900,427.900,NA,nest_43_data\VIDEO\MOVI0007.avi,12837,12837,,,,
N43_m7_EF,2025-07-18 16:52:32,"resting, traveling",Media file,player #1:nest_43_data\VIDEO\MOVI0007.avi,0.0,464.202,464.300,30.000,No focal subject,1253.899,obscured,view,feathers,,,,,STATE,427.967,464.302,36.335,nest_43_data\VIDEO\MOVI0007.avi,12839,13929,,,,
N43_m7_EF,2025-07-18 16:52:32,"resting, traveling",Media file,player #1:nest_43_data\VIDEO\MOVI0007.avi,0.0,464.202,464.300,30.000,No focal subject,1253.899,Sitting,position,,,,,,STATE,428.500,464.302,35.802,nest_43_data\VIDEO\MOVI0007.avi,12855,13929,,,,
N43_m7_EF,2025-07-18 16:52:32,"resting, traveling",Media file,player #1:nest_43_data\VIDEO\MOVI0007.avi,0.0,464.202,464.300,30.000,No focal subject,1253.899,other Birds present,view,0,None,None,None,None,POINT,450.000,450.000,NA,nest_43_data\VIDEO\MOVI0007.avi,13500,13500,,,,
N43_m7_EF,2025-07-18 16:52:32,"resting, traveling",Media file,player #1:nest_43_data\VIDEO\MOVI0007.avi,0.0,464.202,464.300,30.000,No focal subject,1253.899,other Birds present,view,0,None,None,None,None,POINT,464.283,464.283,NA,nest_43_data\VIDEO\MOVI0007.avi,13928,13928,,,,
