Observation id,Observation date,Description,Observation type,Source,Time offset (s),Coding duration,Media duration (s),FPS (frame/s),Subject,Observation duration by subject by observation,Behavior,Behavioral category,Modifier #1,Modifier #2,Modifier #3,Modifier #4,Modifier #5,Behavior type,Start (s),Stop (s),Duration (s),Media file name,Image index start,Image index stop,Image file path start,Image file path stop,Comment start,Comment stop
N44_m4_j,2023-11-15 13:28:57,"traveling, foraging (incl t3f)",Media file,player #1:nest_44_data\VIDEO\MOVI0004.avi,0.0,1799.944,1800.033,30.000,No focal subject,3775.222,Airborne,position,,,,,,STATE,0.067,129.132,129.065,nest_44_data\VIDEO\MOVI0004.avi,2,NA,,,,
N44_m4_j,2023-11-15 13:28:57,"traveling, foraging (incl t3f)",Media file,player #1:nest_44_data\VIDEO\MOVI0004.avi,0.0,1799.944,1800.033,30.000,No focal subject,3775.222,weather notes,Not defined,heavy partial clouds,None,2 - small wavelets glassy crests not breaking,,,STATE,0.067,1800.011,1799.944,nest_44_data\VIDEO\MOVI0004.avi,2,53999,,,,
N44_m4_j,2023-11-15 13:28:57,"traveling, foraging (incl t3f)",Media file,player #1:nest_44_data\VIDEO\MOVI0004.avi,0.0,1799.944,1800.033,30.000,No focal subject,3775.222,other Birds present,view,0,None,None,None,None,POINT,30.000,30.000,NA,nest_44_data\VIDEO\MOVI0004.avi,900,900,,,,
N44_m4_j,2023-11-15 13:28:57,"traveling, foraging (incl t3f)",Media file,player #1:nest_44_data\VIDEO\MOVI0004.avi,0.0,1799.944,1800.033,30.000,No focal subject,3775.222,other Birds present,view,1,RFBO,flying,close - well defined body and movements,close,POINT,60.033,60.033,NA,nest_44_data\VIDEO\MOVI0004.avi,1801,1801,,,,
N44_m4_j,2023-11-15 13:28:57,"traveling, foraging (incl t3f)",Media file,player #1:nest_44_data\VIDEO\MOVI0004.avi,0.0,1799.944,1800.033,30.000,No focal subject,3775.222,Identifiable/individual birds,view,1,RFBO,adult,cross paths,,POINT,72.100,72.100,NA,nest_44_data\VIDEO\MOVI0004.avi,2163,2163,,,,
N44_m4_j,2023-11-15 13:28:57,"traveling, foraging (incl t3f)",Media file,player #1:nest_44_data\VIDEO\MOVI0004.avi,0.0,1799.944,1800.033,30.000,No focal subject,3775.222,Eye/bill visible,view,,,,,,POINT,73.467,73.467,NA,nest_44_data\VIDEO\MOVI0004.avi,2204,2204,,,,
N44_m4_j,2023-11-15 13:28:57,"traveling, foraging (incl t3f)",Media file,player #1:nest_44_data\VIDEO\MOVI0004.avi,0.0,1799.944,1800.033,30.000,No focal subject,3775.222,Identifiable/individual birds,view,1,RFBO,adult,cross paths,,POINT,80.900,80.900,NA,nest_44_data\VIDEO\MOVI0004.avi,2427,2427,,,,
N44_m4_j,2023-11-15 13:28:57,"traveling, foraging (incl t3f)",Media file,player #1:nest_44_data\VIDEO\MOVI0004.avi,0.0,1799.944,1800.033,30.000,No focal subject,3775.222,other Birds present,view,4,"RFBO,unknown",flying,close - well defined body and movements,mid,POINT,90.033,90.033,NA,nest_44_data\VIDEO\MOVI0004.avi,2701,2701,,,,
N44_m4_j,2023-11-15 13:28:57,"traveling, foraging (incl t3f)",Media file,player #1:nest_44_data\VIDEO\MOVI0004.avi,0.0,1799.944,1800.033,30.000,No focal subject,3775.222,other Birds present,view,0,None,None,None,None,POINT,120.000,120.000,NA,nest_44_data\VIDEO\MOVI0004.avi,3600,3600,,,,
N44_m4_j,2023-11-15 13:28:57,"traveling, foraging (incl t3f)",Media file,player #1:nest_44_data\VIDEO\MOVI0004.avi,0.0,1799.944,1800.033,30.000,No focal subject,3775.222,prey Capture,position,type 3: mid-air pursuit of prey,Unknown,OTHER individual,,,POINT,127.367,127.367,NA,nest_44_data\VIDEO\MOVI0004.avi,3821,3821,,,,
