Observation id,Observation date,Description,Observation type,Source,Time offset (s),Coding duration,Media duration (s),FPS (frame/s),Subject,Observation duration by subject by observation,Behavior,Behavioral category,Modifier #1,Modifier #2,Modifier #3,Modifier #4,Behavior type,Start (s),Stop (s),Duration (s),Media file name,Image index start,Image index stop,Image file path start,Image file path stop,Comment start,Comment stop
N52_m0_AS,2025-08-15 16:42:46,,Media file,player #1:Oct23PalmyraData\Nest_52\nest52video\MOVI0000.avi,0.0,36.366,1800.033,30.000,No focal subject,71.54,obscured,view,feathers,,,,STATE,0.067,19.299,19.232,Oct23PalmyraData\Nest_52\nest52video\MOVI0000.avi,2,NA,,,,
N52_m0_AS,2025-08-15 16:42:46,,Media file,player #1:Oct23PalmyraData\Nest_52\nest52video\MOVI0000.avi,0.0,36.366,1800.033,30.000,No focal subject,71.54,unknownState,position,,,,,STATE,1.100,19.366,18.266,Oct23PalmyraData\Nest_52\nest52video\MOVI0000.avi,33,NA,,,,
N52_m0_AS,2025-08-15 16:42:46,,Media file,player #1:Oct23PalmyraData\Nest_52\nest52video\MOVI0000.avi,0.0,36.366,1800.033,30.000,No focal subject,71.54,partially obscured,view,feathers,,,,STATE,19.300,19.399,0.099,Oct23PalmyraData\Nest_52\nest52video\MOVI0000.avi,579,NA,,,,
N52_m0_AS,2025-08-15 16:42:46,,Media file,player #1:Oct23PalmyraData\Nest_52\nest52video\MOVI0000.avi,0.0,36.366,1800.033,30.000,No focal subject,71.54,Sitting,position,,,,,STATE,19.367,26.099,6.732,Oct23PalmyraData\Nest_52\nest52video\MOVI0000.avi,581,NA,,,,
N52_m0_AS,2025-08-15 16:42:46,,Media file,player #1:Oct23PalmyraData\Nest_52\nest52video\MOVI0000.avi,0.0,36.366,1800.033,30.000,No focal subject,71.54,obscured,view,feathers,,,,STATE,19.400,19.499,0.099,Oct23PalmyraData\Nest_52\nest52video\MOVI0000.avi,582,NA,,,,
N52_m0_AS,2025-08-15 16:42:46,,Media file,player #1:Oct23PalmyraData\Nest_52\nest52video\MOVI0000.avi,0.0,36.366,1800.033,30.000,No focal subject,71.54,partially obscured,view,blurry/water,,,,STATE,19.500,19.866,0.366,Oct23PalmyraData\Nest_52\nest52video\MOVI0000.avi,585,NA,,,,
N52_m0_AS,2025-08-15 16:42:46,,Media file,player #1:Oct23PalmyraData\Nest_52\nest52video\MOVI0000.avi,0.0,36.366,1800.033,30.000,No focal subject,71.54,obscured,view,feathers,,,,STATE,19.867,20.232,0.365,Oct23PalmyraData\Nest_52\nest52video\MOVI0000.avi,596,NA,,,,
N52_m0_AS,2025-08-15 16:42:46,,Media file,player #1:Oct23PalmyraData\Nest_52\nest52video\MOVI0000.avi,0.0,36.366,1800.033,30.000,No focal subject,71.54,partially obscured,view,blurry/water,,,,STATE,20.233,20.299,0.066,Oct23PalmyraData\Nest_52\nest52video\MOVI0000.avi,607,NA,,,,
N52_m0_AS,2025-08-15 16:42:46,,Media file,player #1:Oct23PalmyraData\Nest_52\nest52video\MOVI0000.avi,0.0,36.366,1800.033,30.000,No focal subject,71.54,obscured,view,feathers,,,,STATE,20.300,20.466,0.166,Oct23PalmyraData\Nest_52\nest52video\MOVI0000.avi,609,NA,,,,
N52_m0_AS,2025-08-15 16:42:46,,Media file,player #1:Oct23PalmyraData\Nest_52\nest52video\MOVI0000.avi,0.0,36.366,1800.033,30.000,No focal subject,71.54,partially obscured,view,blurry/water,,,,STATE,20.467,20.566,0.099,Oct23PalmyraData\Nest_52\nest52video\MOVI0000.avi,614,NA,,,,
N52_m0_AS,2025-08-15 16:42:46,,Media file,player #1:Oct23PalmyraData\Nest_52\nest52video\MOVI0000.avi,0.0,36.366,1800.033,30.000,No focal subject,71.54,obscured,view,feathers,,,,STATE,20.567,22.399,1.832,Oct23PalmyraData\Nest_52\nest52video\MOVI0000.avi,617,NA,,,,
N52_m0_AS,2025-08-15 16:42:46,,Media file,player #1:Oct23PalmyraData\Nest_52\nest52video\MOVI0000.avi,0.0,36.366,1800.033,30.000,No focal subject,71.54,partially obscured,view,feathers,,,,STATE,22.400,22.499,0.099,Oct23PalmyraData\Nest_52\nest52video\MOVI0000.avi,672,NA,,,,
N52_m0_AS,2025-08-15 16:42:46,,Media file,player #1:Oct23PalmyraData\Nest_52\nest52video\MOVI0000.avi,0.0,36.366,1800.033,30.000,No focal subject,71.54,obscured,view,feathers,,,,STATE,22.500,22.899,0.399,Oct23PalmyraData\Nest_52\nest52video\MOVI0000.avi,675,NA,,,,
N52_m0_AS,2025-08-15 16:42:46,,Media file,player #1:Oct23PalmyraData\Nest_52\nest52video\MOVI0000.avi,0.0,36.366,1800.033,30.000,No focal subject,71.54,partially obscured,view,blurry/water,,,,STATE,22.900,23.032,0.132,Oct23PalmyraData\Nest_52\nest52video\MOVI0000.avi,687,NA,,,,
N52_m0_AS,2025-08-15 16:42:46,,Media file,player #1:Oct23PalmyraData\Nest_52\nest52video\MOVI0000.avi,0.0,36.366,1800.033,30.000,No focal subject,71.54,obscured,view,feathers,,,,STATE,23.033,23.199,0.166,Oct23PalmyraData\Nest_52\nest52video\MOVI0000.avi,691,NA,,,,
N52_m0_AS,2025-08-15 16:42:46,,Media file,player #1:Oct23PalmyraData\Nest_52\nest52video\MOVI0000.avi,0.0,36.366,1800.033,30.000,No focal subject,71.54,partially obscured,view,blurry/water,,,,STATE,23.200,23.367,0.167,Oct23PalmyraData\Nest_52\nest52video\MOVI0000.avi,696,701,,,,
N52_m0_AS,2025-08-15 16:42:46,,Media file,player #1:Oct23PalmyraData\Nest_52\nest52video\MOVI0000.avi,0.0,36.366,1800.033,30.000,No focal subject,71.54,obscured,view,feathers,,,,STATE,23.367,34.132,10.765,Oct23PalmyraData\Nest_52\nest52video\MOVI0000.avi,701,NA,,,,
N52_m0_AS,2025-08-15 16:42:46,,Media file,player #1:Oct23PalmyraData\Nest_52\nest52video\MOVI0000.avi,0.0,36.366,1800.033,30.000,No focal subject,71.54,unknownState,position,,,,,STATE,26.100,34.199,8.099,Oct23PalmyraData\Nest_52\nest52video\MOVI0000.avi,783,NA,,,,
N52_m0_AS,2025-08-15 16:42:46,,Media file,player #1:Oct23PalmyraData\Nest_52\nest52video\MOVI0000.avi,0.0,36.366,1800.033,30.000,No focal subject,71.54,partially obscured,view,blurry/water,,,,STATE,34.133,34.266,0.133,Oct23PalmyraData\Nest_52\nest52video\MOVI0000.avi,1024,NA,,,,
N52_m0_AS,2025-08-15 16:42:46,,Media file,player #1:Oct23PalmyraData\Nest_52\nest52video\MOVI0000.avi,0.0,36.366,1800.033,30.000,No focal subject,71.54,Airborne,position,,,,,STATE,34.200,36.433,2.233,Oct23PalmyraData\Nest_52\nest52video\MOVI0000.avi,1026,1093,,,,
N52_m0_AS,2025-08-15 16:42:46,,Media file,player #1:Oct23PalmyraData\Nest_52\nest52video\MOVI0000.avi,0.0,36.366,1800.033,30.000,No focal subject,71.54,obscured,view,feathers,,,,STATE,34.267,34.567,0.300,Oct23PalmyraData\Nest_52\nest52video\MOVI0000.avi,1028,1037,,,,
N52_m0_AS,2025-08-15 16:42:46,,Media file,player #1:Oct23PalmyraData\Nest_52\nest52video\MOVI0000.avi,0.0,36.366,1800.033,30.000,No focal subject,71.54,partially obscured,view,blurry/water,,,,STATE,34.500,34.566,0.066,Oct23PalmyraData\Nest_52\nest52video\MOVI0000.avi,1035,NA,,,,
N52_m0_AS,2025-08-15 16:42:46,,Media file,player #1:Oct23PalmyraData\Nest_52\nest52video\MOVI0000.avi,0.0,36.366,1800.033,30.000,No focal subject,71.54,partially obscured,view,blurry/water,,,,STATE,34.767,34.866,0.099,Oct23PalmyraData\Nest_52\nest52video\MOVI0000.avi,1043,NA,,,,
N52_m0_AS,2025-08-15 16:42:46,,Media file,player #1:Oct23PalmyraData\Nest_52\nest52video\MOVI0000.avi,0.0,36.366,1800.033,30.000,No focal subject,71.54,obscured,view,feathers,,,,STATE,34.867,35.566,0.699,Oct23PalmyraData\Nest_52\nest52video\MOVI0000.avi,1046,NA,,,,
N52_m0_AS,2025-08-15 16:42:46,,Media file,player #1:Oct23PalmyraData\Nest_52\nest52video\MOVI0000.avi,0.0,36.366,1800.033,30.000,No focal subject,71.54,partially obscured,view,blurry/water,,,,STATE,35.567,35.599,0.032,Oct23PalmyraData\Nest_52\nest52video\MOVI0000.avi,1067,NA,,,,
N52_m0_AS,2025-08-15 16:42:46,,Media file,player #1:Oct23PalmyraData\Nest_52\nest52video\MOVI0000.avi,0.0,36.366,1800.033,30.000,No focal subject,71.54,obscured,view,feathers,,,,STATE,35.600,36.066,0.466,Oct23PalmyraData\Nest_52\nest52video\MOVI0000.avi,1068,NA,,,,
