Observation id,Observation date,Description,Observation type,Source,Time offset (s),Coding duration,Media duration (s),FPS (frame/s),Subject,Observation duration by subject by observation,Behavior,Behavioral category,Modifier #1,Modifier #2,Modifier #3,Modifier #4,Modifier #5,Behavior type,Start (s),Stop (s),Duration (s),Media file name,Image index start,Image index stop,Image file path start,Image file path stop,Comment start,Comment stop
N5_m0_as,2024-07-09 15:02:06,"foraging PCAs incl type 3 and squid, Mar pred seen",Media file,player #1:nest_5_data\VIDEO\MOVI0000.avi,0.0,1799.933,1800.033,30.000,No focal subject,3983.888,Sitting,position,,,,,,STATE,0.067,100.966,100.899,nest_5_data\VIDEO\MOVI0000.avi,2,NA,,,,
N5_m0_as,2024-07-09 15:02:06,"foraging PCAs incl type 3 and squid, Mar pred seen",Media file,player #1:nest_5_data\VIDEO\MOVI0000.avi,0.0,1799.933,1800.033,30.000,No focal subject,3983.888,obscured,view,feathers,,,,,STATE,0.067,100.967,100.900,nest_5_data\VIDEO\MOVI0000.avi,2,3029,,,,
N5_m0_as,2024-07-09 15:02:06,"foraging PCAs incl type 3 and squid, Mar pred seen",Media file,player #1:nest_5_data\VIDEO\MOVI0000.avi,0.0,1799.933,1800.033,30.000,No focal subject,3983.888,Takeoff,position,,,,,,POINT,100.967,100.967,NA,nest_5_data\VIDEO\MOVI0000.avi,3029,3029,,,,
N5_m0_as,2024-07-09 15:02:06,"foraging PCAs incl type 3 and squid, Mar pred seen",Media file,player #1:nest_5_data\VIDEO\MOVI0000.avi,0.0,1799.933,1800.033,30.000,No focal subject,3983.888,Airborne,position,,,,,,STATE,101.400,230.566,129.166,nest_5_data\VIDEO\MOVI0000.avi,3042,NA,,,,
N5_m0_as,2024-07-09 15:02:06,"foraging PCAs incl type 3 and squid, Mar pred seen",Media file,player #1:nest_5_data\VIDEO\MOVI0000.avi,0.0,1799.933,1800.033,30.000,No focal subject,3983.888,weather notes,Not defined,overcast - solid cloud layer,fog,"4 - small to moderate waves numerous whitecaps,5 - moderate waves many whitecaps some spray",,,STATE,101.400,1800.000,1698.600,nest_5_data\VIDEO\MOVI0000.avi,3042,53999,,,,
N5_m0_as,2024-07-09 15:02:06,"foraging PCAs incl type 3 and squid, Mar pred seen",Media file,player #1:nest_5_data\VIDEO\MOVI0000.avi,0.0,1799.933,1800.033,30.000,No focal subject,3983.888,partially obscured,view,blurry/water,,,,,STATE,111.000,123.233,12.233,nest_5_data\VIDEO\MOVI0000.avi,3330,3697,,,,
N5_m0_as,2024-07-09 15:02:06,"foraging PCAs incl type 3 and squid, Mar pred seen",Media file,player #1:nest_5_data\VIDEO\MOVI0000.avi,0.0,1799.933,1800.033,30.000,No focal subject,3983.888,Eye/bill visible,view,,,,,,POINT,124.367,124.367,NA,nest_5_data\VIDEO\MOVI0000.avi,3731,3731,,,,
N5_m0_as,2024-07-09 15:02:06,"foraging PCAs incl type 3 and squid, Mar pred seen",Media file,player #1:nest_5_data\VIDEO\MOVI0000.avi,0.0,1799.933,1800.033,30.000,No focal subject,3983.888,Eye/bill visible,view,,,,,,POINT,125.133,125.133,NA,nest_5_data\VIDEO\MOVI0000.avi,3754,3754,,,,
N5_m0_as,2024-07-09 15:02:06,"foraging PCAs incl type 3 and squid, Mar pred seen",Media file,player #1:nest_5_data\VIDEO\MOVI0000.avi,0.0,1799.933,1800.033,30.000,No focal subject,3983.888,Eye/bill visible,view,,,,,,POINT,130.900,130.900,NA,nest_5_data\VIDEO\MOVI0000.avi,3927,3927,,,,
N5_m0_as,2024-07-09 15:02:06,"foraging PCAs incl type 3 and squid, Mar pred seen",Media file,player #1:nest_5_data\VIDEO\MOVI0000.avi,0.0,1799.933,1800.033,30.000,No focal subject,3983.888,Eye/bill visible,view,,,,,,POINT,144.800,144.800,NA,nest_5_data\VIDEO\MOVI0000.avi,4344,4344,,,,
