Observation id,Observation date,Description,Observation type,Source,Time offset (s),Coding duration,Media duration (s),FPS (frame/s),Subject,Observation duration by subject by observation,Behavior,Behavioral category,Modifier #1,Modifier #2,Modifier #3,Modifier #4,Behavior type,Start (s),Stop (s),Duration (s),Media file name,Image index start,Image index stop,Image file path start,Image file path stop,Comment start,Comment stop
N73_m9101112,2025-10-07 11:42:49,,Media file,player #1:Nov2024_RFBO\73\video\MOVI0009.avi;Nov2024_RFBO\73\video\MOVI0010.avi;Nov2024_RFBO\73\video\MOVI0011.avi;Nov2024_RFBO\73\video\MOVI0012.avi,0.0,735.582,600.133;23.700;110.433;1.400,30.000;30.000;30.000;30.000,No focal subject,2193.836,Airborne,position,,,,,STATE,0.067,12.066,11.999,Nov2024_RFBO\73\video\MOVI0009.avi,2,NA,,,,
N73_m9101112,2025-10-07 11:42:49,,Media file,player #1:Nov2024_RFBO\73\video\MOVI0009.avi;Nov2024_RFBO\73\video\MOVI0010.avi;Nov2024_RFBO\73\video\MOVI0011.avi;Nov2024_RFBO\73\video\MOVI0012.avi,0.0,735.582,600.133;23.700;110.433;1.400,30.000;30.000;30.000;30.000,No focal subject,2193.836,weather notes,Not defined,overcast - solid cloud layer,None,"3 - large wavelets crests breaking some scttered whitecaps,4 - small to moderate waves numerous whitecaps",,STATE,0.067,623.899,623.832,Nov2024_RFBO\73\video\MOVI0009.avi,2,NA,,,,
N73_m9101112,2025-10-07 11:42:49,,Media file,player #1:Nov2024_RFBO\73\video\MOVI0009.avi;Nov2024_RFBO\73\video\MOVI0010.avi;Nov2024_RFBO\73\video\MOVI0011.avi;Nov2024_RFBO\73\video\MOVI0012.avi,0.0,735.582,600.133;23.700;110.433;1.400,30.000;30.000;30.000;30.000,No focal subject,2193.836,Eye/bill visible,view,,,,,POINT,3.333,3.333,NA,Nov2024_RFBO\73\video\MOVI0009.avi,100,100,,,,
N73_m9101112,2025-10-07 11:42:49,,Media file,player #1:Nov2024_RFBO\73\video\MOVI0009.avi;Nov2024_RFBO\73\video\MOVI0010.avi;Nov2024_RFBO\73\video\MOVI0011.avi;Nov2024_RFBO\73\video\MOVI0012.avi,0.0,735.582,600.133;23.700;110.433;1.400,30.000;30.000;30.000;30.000,No focal subject,2193.836,Eye/bill visible,view,,,,,POINT,6.567,6.567,NA,Nov2024_RFBO\73\video\MOVI0009.avi,197,197,,,,
N73_m9101112,2025-10-07 11:42:49,,Media file,player #1:Nov2024_RFBO\73\video\MOVI0009.avi;Nov2024_RFBO\73\video\MOVI0010.avi;Nov2024_RFBO\73\video\MOVI0011.avi;Nov2024_RFBO\73\video\MOVI0012.avi,0.0,735.582,600.133;23.700;110.433;1.400,30.000;30.000;30.000;30.000,No focal subject,2193.836,Identifiable/individual birds,view,1,RFBO,adult,parallel flight,POINT,10.467,10.467,NA,Nov2024_RFBO\73\video\MOVI0009.avi,314,314,,,,
N73_m9101112,2025-10-07 11:42:49,,Media file,player #1:Nov2024_RFBO\73\video\MOVI0009.avi;Nov2024_RFBO\73\video\MOVI0010.avi;Nov2024_RFBO\73\video\MOVI0011.avi;Nov2024_RFBO\73\video\MOVI0012.avi,0.0,735.582,600.133;23.700;110.433;1.400,30.000;30.000;30.000;30.000,No focal subject,2193.836,obscured,view,feathers,,,,STATE,12.000,13.132,1.132,Nov2024_RFBO\73\video\MOVI0009.avi,360,NA,,,,
N73_m9101112,2025-10-07 11:42:49,,Media file,player #1:Nov2024_RFBO\73\video\MOVI0009.avi;Nov2024_RFBO\73\video\MOVI0010.avi;Nov2024_RFBO\73\video\MOVI0011.avi;Nov2024_RFBO\73\video\MOVI0012.avi,0.0,735.582,600.133;23.700;110.433;1.400,30.000;30.000;30.000;30.000,No focal subject,2193.836,unknownState,position,,,,,STATE,12.067,13.166,1.099,Nov2024_RFBO\73\video\MOVI0009.avi,362,NA,,,,
N73_m9101112,2025-10-07 11:42:49,,Media file,player #1:Nov2024_RFBO\73\video\MOVI0009.avi;Nov2024_RFBO\73\video\MOVI0010.avi;Nov2024_RFBO\73\video\MOVI0011.avi;Nov2024_RFBO\73\video\MOVI0012.avi,0.0,735.582,600.133;23.700;110.433;1.400,30.000;30.000;30.000;30.000,No focal subject,2193.836,partially obscured,view,blurry/water,,,,STATE,13.133,24.766,11.633,Nov2024_RFBO\73\video\MOVI0009.avi,394,NA,,,,
N73_m9101112,2025-10-07 11:42:49,,Media file,player #1:Nov2024_RFBO\73\video\MOVI0009.avi;Nov2024_RFBO\73\video\MOVI0010.avi;Nov2024_RFBO\73\video\MOVI0011.avi;Nov2024_RFBO\73\video\MOVI0012.avi,0.0,735.582,600.133;23.700;110.433;1.400,30.000;30.000;30.000;30.000,No focal subject,2193.836,Sitting,position,,,,,STATE,13.167,14.532,1.365,Nov2024_RFBO\73\video\MOVI0009.avi,395,NA,,,,
N73_m9101112,2025-10-07 11:42:49,,Media file,player #1:Nov2024_RFBO\73\video\MOVI0009.avi;Nov2024_RFBO\73\video\MOVI0010.avi;Nov2024_RFBO\73\video\MOVI0011.avi;Nov2024_RFBO\73\video\MOVI0012.avi,0.0,735.582,600.133;23.700;110.433;1.400,30.000;30.000;30.000;30.000,No focal subject,2193.836,Eye/bill visible,view,,,,,POINT,13.233,13.233,NA,Nov2024_RFBO\73\video\MOVI0009.avi,397,397,,,,
N73_m9101112,2025-10-07 11:42:49,,Media file,player #1:Nov2024_RFBO\73\video\MOVI0009.avi;Nov2024_RFBO\73\video\MOVI0010.avi;Nov2024_RFBO\73\video\MOVI0011.avi;Nov2024_RFBO\73\video\MOVI0012.avi,0.0,735.582,600.133;23.700;110.433;1.400,30.000;30.000;30.000;30.000,No focal subject,2193.836,splasH,view,,,,,POINT,13.633,13.633,NA,Nov2024_RFBO\73\video\MOVI0009.avi,409,409,,,,
N73_m9101112,2025-10-07 11:42:49,,Media file,player #1:Nov2024_RFBO\73\video\MOVI0009.avi;Nov2024_RFBO\73\video\MOVI0010.avi;Nov2024_RFBO\73\video\MOVI0011.avi;Nov2024_RFBO\73\video\MOVI0012.avi,0.0,735.582,600.133;23.700;110.433;1.400,30.000;30.000;30.000;30.000,No focal subject,2193.836,Takeoff,position,,,,,POINT,14.533,14.533,NA,Nov2024_RFBO\73\video\MOVI0009.avi,436,436,,,,
N73_m9101112,2025-10-07 11:42:49,,Media file,player #1:Nov2024_RFBO\73\video\MOVI0009.avi;Nov2024_RFBO\73\video\MOVI0010.avi;Nov2024_RFBO\73\video\MOVI0011.avi;Nov2024_RFBO\73\video\MOVI0012.avi,0.0,735.582,600.133;23.700;110.433;1.400,30.000;30.000;30.000;30.000,No focal subject,2193.836,Airborne,position,,,,,STATE,14.633,24.532,9.899,Nov2024_RFBO\73\video\MOVI0009.avi,439,NA,,,,
N73_m9101112,2025-10-07 11:42:49,,Media file,player #1:Nov2024_RFBO\73\video\MOVI0009.avi;Nov2024_RFBO\73\video\MOVI0010.avi;Nov2024_RFBO\73\video\MOVI0011.avi;Nov2024_RFBO\73\video\MOVI0012.avi,0.0,735.582,600.133;23.700;110.433;1.400,30.000;30.000;30.000;30.000,No focal subject,2193.836,Identifiable/individual birds,view,1,RFBO,adult,parallel flight,POINT,17.800,17.800,NA,Nov2024_RFBO\73\video\MOVI0009.avi,534,534,,,,
N73_m9101112,2025-10-07 11:42:49,,Media file,player #1:Nov2024_RFBO\73\video\MOVI0009.avi;Nov2024_RFBO\73\video\MOVI0010.avi;Nov2024_RFBO\73\video\MOVI0011.avi;Nov2024_RFBO\73\video\MOVI0012.avi,0.0,735.582,600.133;23.700;110.433;1.400,30.000;30.000;30.000;30.000,No focal subject,2193.836,Eye/bill visible,view,,,,,POINT,21.300,21.300,NA,Nov2024_RFBO\73\video\MOVI0009.avi,639,639,,,,
N73_m9101112,2025-10-07 11:42:49,,Media file,player #1:Nov2024_RFBO\73\video\MOVI0009.avi;Nov2024_RFBO\73\video\MOVI0010.avi;Nov2024_RFBO\73\video\MOVI0011.avi;Nov2024_RFBO\73\video\MOVI0012.avi,0.0,735.582,600.133;23.700;110.433;1.400,30.000;30.000;30.000;30.000,No focal subject,2193.836,Landing,position,,,,,POINT,24.533,24.533,NA,Nov2024_RFBO\73\video\MOVI0009.avi,736,736,,,,
N73_m9101112,2025-10-07 11:42:49,,Media file,player #1:Nov2024_RFBO\73\video\MOVI0009.avi;Nov2024_RFBO\73\video\MOVI0010.avi;Nov2024_RFBO\73\video\MOVI0011.avi;Nov2024_RFBO\73\video\MOVI0012.avi,0.0,735.582,600.133;23.700;110.433;1.400,30.000;30.000;30.000;30.000,No focal subject,2193.836,obscured,view,feathers,,,,STATE,24.767,56.699,31.932,Nov2024_RFBO\73\video\MOVI0009.avi,743,NA,,,,
N73_m9101112,2025-10-07 11:42:49,,Media file,player #1:Nov2024_RFBO\73\video\MOVI0009.avi;Nov2024_RFBO\73\video\MOVI0010.avi;Nov2024_RFBO\73\video\MOVI0011.avi;Nov2024_RFBO\73\video\MOVI0012.avi,0.0,735.582,600.133;23.700;110.433;1.400,30.000;30.000;30.000;30.000,No focal subject,2193.836,Sitting,position,,,,,STATE,25.300,47.032,21.732,Nov2024_RFBO\73\video\MOVI0009.avi,759,NA,,,,
N73_m9101112,2025-10-07 11:42:49,,Media file,player #1:Nov2024_RFBO\73\video\MOVI0009.avi;Nov2024_RFBO\73\video\MOVI0010.avi;Nov2024_RFBO\73\video\MOVI0011.avi;Nov2024_RFBO\73\video\MOVI0012.avi,0.0,735.582,600.133;23.700;110.433;1.400,30.000;30.000;30.000;30.000,No focal subject,2193.836,unknownState,position,,,,,STATE,47.033,57.132,10.099,Nov2024_RFBO\73\video\MOVI0009.avi,1411,NA,,,,
N73_m9101112,2025-10-07 11:42:49,,Media file,player #1:Nov2024_RFBO\73\video\MOVI0009.avi;Nov2024_RFBO\73\video\MOVI0010.avi;Nov2024_RFBO\73\video\MOVI0011.avi;Nov2024_RFBO\73\video\MOVI0012.avi,0.0,735.582,600.133;23.700;110.433;1.400,30.000;30.000;30.000;30.000,No focal subject,2193.836,partially obscured,view,blurry/water,,,,STATE,56.700,70.932,14.232,Nov2024_RFBO\73\video\MOVI0009.avi,1701,NA,,,,
N73_m9101112,2025-10-07 11:42:49,,Media file,player #1:Nov2024_RFBO\73\video\MOVI0009.avi;Nov2024_RFBO\73\video\MOVI0010.avi;Nov2024_RFBO\73\video\MOVI0011.avi;Nov2024_RFBO\73\video\MOVI0012.avi,0.0,735.582,600.133;23.700;110.433;1.400,30.000;30.000;30.000;30.000,No focal subject,2193.836,Airborne,position,,,,,STATE,57.133,70.699,13.566,Nov2024_RFBO\73\video\MOVI0009.avi,1714,NA,,,,
N73_m9101112,2025-10-07 11:42:49,,Media file,player #1:Nov2024_RFBO\73\video\MOVI0009.avi;Nov2024_RFBO\73\video\MOVI0010.avi;Nov2024_RFBO\73\video\MOVI0011.avi;Nov2024_RFBO\73\video\MOVI0012.avi,0.0,735.582,600.133;23.700;110.433;1.400,30.000;30.000;30.000;30.000,No focal subject,2193.836,Eye/bill visible,view,,,,,POINT,58.700,58.700,NA,Nov2024_RFBO\73\video\MOVI0009.avi,1761,1761,,,,
