Observation id,Observation date,Description,Observation type,Source,Time offset (s),Coding duration,Media duration (s),FPS (frame/s),Subject,Observation duration by subject by observation,Behavior,Behavioral category,Modifier #1,Modifier #2,Modifier #3,Modifier #4,Modifier #5,Behavior type,Start (s),Stop (s),Duration (s),Media file name,Image index start,Image index stop,Image file path start,Image file path stop,Comment start,Comment stop
nest_44_as_mov0_fullannotation.v1,2023-07-25 11:31:13,,Media file,player #1:MOVI0000.avi;MOVI0001.avi;MOVI0002.avi;MOVI0003.avi;MOVI0004.avi;MOVI0005.avi;MOVI0006.avi,0.0,1883.399,1800.033;1800.033;1800.033;1800.033;1800.033;1800.033;4.533,30.000;30.000;30.000;30.000;30.000;30.000;30.000,No focal subject,3979.213,Airborne,position,,,,,,STATE,0.067,1373.966,1373.899,MOVI0000.avi,2,NA,,,,
nest_44_as_mov0_fullannotation.v1,2023-07-25 11:31:13,,Media file,player #1:MOVI0000.avi;MOVI0001.avi;MOVI0002.avi;MOVI0003.avi;MOVI0004.avi;MOVI0005.avi;MOVI0006.avi,0.0,1883.399,1800.033;1800.033;1800.033;1800.033;1800.033;1800.033;4.533,30.000;30.000;30.000;30.000;30.000;30.000;30.000,No focal subject,3979.213,weather notes,Not defined,overcast - solid cloud layer,"rain,fog","2 - small wavelets glassy crests not breaking,3 - large wavelets crests breaking some scttered whitecaps",,,STATE,0.067,1800.066,1799.999,MOVI0000.avi,2,1,,,,
nest_44_as_mov0_fullannotation.v1,2023-07-25 11:31:13,,Media file,player #1:MOVI0000.avi;MOVI0001.avi;MOVI0002.avi;MOVI0003.avi;MOVI0004.avi;MOVI0005.avi;MOVI0006.avi,0.0,1883.399,1800.033;1800.033;1800.033;1800.033;1800.033;1800.033;4.533,30.000;30.000;30.000;30.000;30.000;30.000;30.000,No focal subject,3979.213,Identifiable/individual birds,view,1,RFBO,unkown,parallel flight,,POINT,1.867,1.867,NA,MOVI0000.avi,56,56,,,,
nest_44_as_mov0_fullannotation.v1,2023-07-25 11:31:13,,Media file,player #1:MOVI0000.avi;MOVI0001.avi;MOVI0002.avi;MOVI0003.avi;MOVI0004.avi;MOVI0005.avi;MOVI0006.avi,0.0,1883.399,1800.033;1800.033;1800.033;1800.033;1800.033;1800.033;4.533,30.000;30.000;30.000;30.000;30.000;30.000;30.000,No focal subject,3979.213,Identifiable/individual birds,view,1,RFBO,adult,cross paths,,POINT,28.067,28.067,NA,MOVI0000.avi,842,842,,,,
nest_44_as_mov0_fullannotation.v1,2023-07-25 11:31:13,,Media file,player #1:MOVI0000.avi;MOVI0001.avi;MOVI0002.avi;MOVI0003.avi;MOVI0004.avi;MOVI0005.avi;MOVI0006.avi,0.0,1883.399,1800.033;1800.033;1800.033;1800.033;1800.033;1800.033;4.533,30.000;30.000;30.000;30.000;30.000;30.000;30.000,No focal subject,3979.213,other Birds present,view,15,"RFBO,unknown","flying,pile",close - well defined body and movements,mid,POINT,30.567,30.567,NA,MOVI0000.avi,917,917,,,,
nest_44_as_mov0_fullannotation.v1,2023-07-25 11:31:13,,Media file,player #1:MOVI0000.avi;MOVI0001.avi;MOVI0002.avi;MOVI0003.avi;MOVI0004.avi;MOVI0005.avi;MOVI0006.avi,0.0,1883.399,1800.033;1800.033;1800.033;1800.033;1800.033;1800.033;4.533,30.000;30.000;30.000;30.000;30.000;30.000;30.000,No focal subject,3979.213,Identifiable/individual birds,view,1,RFBO,adult,parallel flight,,POINT,38.367,38.367,NA,MOVI0000.avi,1151,1151,,,,
nest_44_as_mov0_fullannotation.v1,2023-07-25 11:31:13,,Media file,player #1:MOVI0000.avi;MOVI0001.avi;MOVI0002.avi;MOVI0003.avi;MOVI0004.avi;MOVI0005.avi;MOVI0006.avi,0.0,1883.399,1800.033;1800.033;1800.033;1800.033;1800.033;1800.033;4.533,30.000;30.000;30.000;30.000;30.000;30.000;30.000,No focal subject,3979.213,Identifiable/individual birds,view,1,booby- Sula sp,unkown,cross paths,,POINT,46.500,46.500,NA,MOVI0000.avi,1395,1395,,,,
nest_44_as_mov0_fullannotation.v1,2023-07-25 11:31:13,,Media file,player #1:MOVI0000.avi;MOVI0001.avi;MOVI0002.avi;MOVI0003.avi;MOVI0004.avi;MOVI0005.avi;MOVI0006.avi,0.0,1883.399,1800.033;1800.033;1800.033;1800.033;1800.033;1800.033;4.533,30.000;30.000;30.000;30.000;30.000;30.000;30.000,No focal subject,3979.213,Eye/bill visible,view,,,,,,POINT,54.200,54.200,NA,MOVI0000.avi,1626,1626,,,,
nest_44_as_mov0_fullannotation.v1,2023-07-25 11:31:13,,Media file,player #1:MOVI0000.avi;MOVI0001.avi;MOVI0002.avi;MOVI0003.avi;MOVI0004.avi;MOVI0005.avi;MOVI0006.avi,0.0,1883.399,1800.033;1800.033;1800.033;1800.033;1800.033;1800.033;4.533,30.000;30.000;30.000;30.000;30.000;30.000;30.000,No focal subject,3979.213,Identifiable/individual birds,view,1,RFBO,adult,parallel flight,,POINT,59.667,59.667,NA,MOVI0000.avi,1790,1790,,,,
nest_44_as_mov0_fullannotation.v1,2023-07-25 11:31:13,,Media file,player #1:MOVI0000.avi;MOVI0001.avi;MOVI0002.avi;MOVI0003.avi;MOVI0004.avi;MOVI0005.avi;MOVI0006.avi,0.0,1883.399,1800.033;1800.033;1800.033;1800.033;1800.033;1800.033;4.533,30.000;30.000;30.000;30.000;30.000;30.000;30.000,No focal subject,3979.213,other Birds present,view,7,"RFBO,unknown",flying,close - well defined body and movements,close,POINT,61.400,61.400,NA,MOVI0000.avi,1842,1842,,,,
nest_44_as_mov0_fullannotation.v1,2023-07-25 11:31:13,,Media file,player #1:MOVI0000.avi;MOVI0001.avi;MOVI0002.avi;MOVI0003.avi;MOVI0004.avi;MOVI0005.avi;MOVI0006.avi,0.0,1883.399,1800.033;1800.033;1800.033;1800.033;1800.033;1800.033;4.533,30.000;30.000;30.000;30.000;30.000;30.000;30.000,No focal subject,3979.213,other Birds present,view,5,"RFBO,unknown","flying,other",close - well defined body and movements,mid,POINT,92.067,92.067,NA,MOVI0000.avi,2762,2762,,,,
nest_44_as_mov0_fullannotation.v1,2023-07-25 11:31:13,,Media file,player #1:MOVI0000.avi;MOVI0001.avi;MOVI0002.avi;MOVI0003.avi;MOVI0004.avi;MOVI0005.avi;MOVI0006.avi,0.0,1883.399,1800.033;1800.033;1800.033;1800.033;1800.033;1800.033;4.533,30.000;30.000;30.000;30.000;30.000;30.000;30.000,No focal subject,3979.213,splasH,view,,,,,,POINT,101.467,101.467,NA,MOVI0000.avi,3044,3044,,,,
nest_44_as_mov0_fullannotation.v1,2023-07-25 11:31:13,,Media file,player #1:MOVI0000.avi;MOVI0001.avi;MOVI0002.avi;MOVI0003.avi;MOVI0004.avi;MOVI0005.avi;MOVI0006.avi,0.0,1883.399,1800.033;1800.033;1800.033;1800.033;1800.033;1800.033;4.533,30.000;30.000;30.000;30.000;30.000;30.000;30.000,No focal subject,3979.213,Dive,position,,,,,,STATE,108.767,109.266,0.499,MOVI0000.avi,3263,NA,,,,
nest_44_as_mov0_fullannotation.v1,2023-07-25 11:31:13,,Media file,player #1:MOVI0000.avi;MOVI0001.avi;MOVI0002.avi;MOVI0003.avi;MOVI0004.avi;MOVI0005.avi;MOVI0006.avi,0.0,1883.399,1800.033;1800.033;1800.033;1800.033;1800.033;1800.033;4.533,30.000;30.000;30.000;30.000;30.000;30.000;30.000,No focal subject,3979.213,Eye/bill visible,view,,,,,,POINT,108.867,108.867,NA,MOVI0000.avi,3266,3266,,,,
nest_44_as_mov0_fullannotation.v1,2023-07-25 11:31:13,,Media file,player #1:MOVI0000.avi;MOVI0001.avi;MOVI0002.avi;MOVI0003.avi;MOVI0004.avi;MOVI0005.avi;MOVI0006.avi,0.0,1883.399,1800.033;1800.033;1800.033;1800.033;1800.033;1800.033;4.533,30.000;30.000;30.000;30.000;30.000;30.000;30.000,No focal subject,3979.213,ab0rt dive,position,,,,,,POINT,109.267,109.267,NA,MOVI0000.avi,3278,3278,,,,
nest_44_as_mov0_fullannotation.v1,2023-07-25 11:31:13,,Media file,player #1:MOVI0000.avi;MOVI0001.avi;MOVI0002.avi;MOVI0003.avi;MOVI0004.avi;MOVI0005.avi;MOVI0006.avi,0.0,1883.399,1800.033;1800.033;1800.033;1800.033;1800.033;1800.033;4.533,30.000;30.000;30.000;30.000;30.000;30.000;30.000,No focal subject,3979.213,Eye/bill visible,view,,,,,,POINT,112.000,112.000,NA,MOVI0000.avi,3360,3360,,,,
nest_44_as_mov0_fullannotation.v1,2023-07-25 11:31:13,,Media file,player #1:MOVI0000.avi;MOVI0001.avi;MOVI0002.avi;MOVI0003.avi;MOVI0004.avi;MOVI0005.avi;MOVI0006.avi,0.0,1883.399,1800.033;1800.033;1800.033;1800.033;1800.033;1800.033;4.533,30.000;30.000;30.000;30.000;30.000;30.000;30.000,No focal subject,3979.213,Identifiable/individual birds,view,1,RFBO,adult,diving,,POINT,115.400,115.400,NA,MOVI0000.avi,3462,3462,,,,
nest_44_as_mov0_fullannotation.v1,2023-07-25 11:31:13,,Media file,player #1:MOVI0000.avi;MOVI0001.avi;MOVI0002.avi;MOVI0003.avi;MOVI0004.avi;MOVI0005.avi;MOVI0006.avi,0.0,1883.399,1800.033;1800.033;1800.033;1800.033;1800.033;1800.033;4.533,30.000;30.000;30.000;30.000;30.000;30.000;30.000,No focal subject,3979.213,Eye/bill visible,view,,,,,,POINT,116.500,116.500,NA,MOVI0000.avi,3495,3495,,,,
nest_44_as_mov0_fullannotation.v1,2023-07-25 11:31:13,,Media file,player #1:MOVI0000.avi;MOVI0001.avi;MOVI0002.avi;MOVI0003.avi;MOVI0004.avi;MOVI0005.avi;MOVI0006.avi,0.0,1883.399,1800.033;1800.033;1800.033;1800.033;1800.033;1800.033;4.533,30.000;30.000;30.000;30.000;30.000;30.000;30.000,No focal subject,3979.213,Dive,position,,,,,,STATE,116.567,117.866,1.299,MOVI0000.avi,3497,NA,,,,
nest_44_as_mov0_fullannotation.v1,2023-07-25 11:31:13,,Media file,player #1:MOVI0000.avi;MOVI0001.avi;MOVI0002.avi;MOVI0003.avi;MOVI0004.avi;MOVI0005.avi;MOVI0006.avi,0.0,1883.399,1800.033;1800.033;1800.033;1800.033;1800.033;1800.033;4.533,30.000;30.000;30.000;30.000;30.000;30.000;30.000,No focal subject,3979.213,ab0rt dive,position,,,,,,POINT,117.867,117.867,NA,MOVI0000.avi,3536,3536,,,,
nest_44_as_mov0_fullannotation.v1,2023-07-25 11:31:13,,Media file,player #1:MOVI0000.avi;MOVI0001.avi;MOVI0002.avi;MOVI0003.avi;MOVI0004.avi;MOVI0005.avi;MOVI0006.avi,0.0,1883.399,1800.033;1800.033;1800.033;1800.033;1800.033;1800.033;4.533,30.000;30.000;30.000;30.000;30.000;30.000;30.000,No focal subject,3979.213,other Birds present,view,15,"RFBO,unknown","flying,diving,other,pile",close - well defined body and movements,close,POINT,122.200,122.200,NA,MOVI0000.avi,3666,3666,,,,
nest_44_as_mov0_fullannotation.v1,2023-07-25 11:31:13,,Media file,player #1:MOVI0000.avi;MOVI0001.avi;MOVI0002.avi;MOVI0003.avi;MOVI0004.avi;MOVI0005.avi;MOVI0006.avi,0.0,1883.399,1800.033;1800.033;1800.033;1800.033;1800.033;1800.033;4.533,30.000;30.000;30.000;30.000;30.000;30.000;30.000,No focal subject,3979.213,Identifiable/individual birds,view,3,RFBO,adult,parallel flight,,POINT,137.400,137.400,NA,MOVI0000.avi,4122,4122,,,,
